Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00227272727	-0.49591213	-0.49591213	-0.49591213	-0.49591213	0	0	0	0	0	0	3
5	1	0	0.0113636364	-0.0301262122	-0.263019171	-0.49591213	-0.0301262122	0.232892959	0	0	0	0	0	3
10	1	0	0.0227272727	0.216759366	-0.103092992	-0.49591213	0.216759366	0.392819138	0	0	0	0	0	3
15	2	0	0.0340909091	1.05292721	0.185912058	-0.49591213	1.05292721	0.681824189	0	0	0	0	0	3
20	2	0	0.0454545455	1.07501163	0.363731972	-0.49591213	1.07501163	0.859644103	0	0	0	0	0	3
25	3	0	0.0568181818	1.01983545	0.473082552	-0.49591213	1.07501163	0.968994682	0	0	0	0	0	3
30	3	0	0.0681818182	0.952610998	0.541586615	-0.49591213	1.07501163	1.03749875	0	0	0	0	0	3
35	4	0	0.0795454545	1.25037851	0.630185603	-0.49591213	1.25037851	1.12609773	0	0	0	0	0	3
40	4	0	0.0909090909	1.12303371	0.684946503	-0.49591213	1.25037851	1.18085863	0	0	0	0	0	3
45	5	0	0.102272727	1.33054978	0.749506831	-0.49591213	1.33054978	1.24541896	0	0	0	0	0	3
50	5	0	0.113636364	1.75168437	0.84061388	-0.49591213	1.75168437	1.33652601	0	0	0	0	0	3
55	6	0	0.125	1.97314617	0.934991571	-0.49591213	1.97314617	1.4309037	0	0	0	0	0	3
60	6	0	0.136363636	2.05497584	1.02114421	-0.49591213	2.05497584	1.51705634	0	0	0	0	0	3
65	7	0	0.147727273	1.82353824	1.07845807	-0.49591213	2.05497584	1.5743702	0	0	0	0	0	3
70	7	0	0.159090909	1.58689771	1.11235404	-0.49591213	2.05497584	1.60826617	0	0	0	0	0	3
75	8	0	0.170454545	1.44516346	1.13315463	-0.49591213	2.05497584	1.62906676	0	0	0	0	0	3
80	8	0	0.181818182	1.14461082	1.13382852	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
85	9	0	0.193181818	0.937551936	1.12292427	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
90	9	0	0.204545455	0.718902866	1.10165999	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
95	10	0	0.215909091	0.483325301	1.07074325	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
100	10	0	0.227272727	0.483865627	1.0427967	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
105	11	0	0.238636364	0.464053597	1.01649019	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
110	11	0	0.25	0.493944052	0.993770796	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
115	12	0	0.261363636	0.225954202	0.961778438	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
120	12	0	0.272727273	0.362925886	0.937824336	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
125	13	0	0.284090909	0.628075096	0.925910903	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
130	13	0	0.295454545	0.210709536	0.899421964	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
135	14	0	0.306818182	0.241485111	0.875924219	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
140	14	0	0.318181818	0.240821748	0.854024134	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
145	15	0	0.329545455	0.0422786048	0.826965949	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
150	16	0	0.340909091	0.0585767566	0.802179201	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
155	16	0	0.352272727	-0.225814572	0.770054396	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
160	17	0	0.363636364	-0.196212237	0.740773589	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
165	17	0	0.375	-0.2057348	0.712935107	-0.49591213	2.05497584	1.62974066	0	0	0	0	0	3
170	18	0	0.386363636	-0.624771491	0.674714918	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
175	18	0	0.397727273	-0.464304194	0.643075498	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
180	19	0	0.409090909	-0.522711252	0.611567748	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
185	20	0	0.420454545	-0.368257341	0.585782878	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
190	20	0	0.431818182	-0.366534713	0.561364478	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
195	21	0	0.443181818	-0.298147078	0.539876689	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
200	21	0	0.454545455	-0.457043876	0.515561553	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
205	22	0	0.465909091	-0.320917132	0.495645394	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
210	23	0	0.477272727	-0.234565412	0.478663747	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
215	23	0	0.488636364	-0.193161722	0.463394987	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
220	24	0	0.5	-0.120091736	0.450428615	-0.624771491	2.05497584	1.62974066	0	0	0	0	0	3
225	25	0	0.511363636	-0.240850693	0.467147167	-0.624771491	2.05497584	1.23692152	0	0	0	0	0	3
230	25	0	0.522727273	-0.236986166	0.456834768	-0.624771491	2.05497584	0.947916466	0	0	0	0	0	3
235	26	0	0.534090909	-0.227043753	0.427744519	-0.624771491	2.05497584	0.770096553	0	0	0	0	0	3
240	26	0	0.545454545	-0.238758058	0.412933351	-0.624771491	2.05497584	0.770096553	0	0	0	0	0	3
245	27	0	0.556818182	-0.282127815	0.382774696	-0.624771491	2.05497584	0.751053828	0	0	0	0	0	3
250	28	0	0.568181818	-0.289160072	0.340073973	-0.624771491	2.05497584	0.793754552	0	0	0	0	0	3
255	28	0	0.579545455	-0.220425613	0.306646607	-0.624771491	2.05497584	0.827181918	0	0	0	0	0	3
260	29	0	0.590909091	-0.221123598	0.276097577	-0.624771491	2.05497584	0.857730948	0	0	0	0	0	3
265	29	0	0.602272727	-0.10995359	0.243358864	-0.624771491	2.05497584	0.890469661	0	0	0	0	0	3
270	30	0	0.613636364	-0.103522137	0.20119508	-0.624771491	2.05497584	0.932633445	0	0	0	0	0	3
275	31	0	0.625	0.0402412882	0.157265423	-0.624771491	2.05497584	0.976563102	0	0	0	0	0	3
280	31	0	0.636363636	0.111925434	0.113105187	-0.624771491	1.82353824	1.02072334	0	0	0	0	0	3
285	33	0	0.647727273	0.153558142	0.0751510936	-0.624771491	1.58689771	1.05867743	0	0	0	0	0	3
290	33	0	0.659090909	0.123373509	0.0418891799	-0.624771491	1.44516346	1.09193934	0	0	0	0	0	3
295	34	0	0.670454545	0.154761086	0.0125618533	-0.624771491	1.14461082	1.12126667	0	0	0	0	0	3
300	34	0	0.681818182	0.119198113	0.014931548	-0.624771491	1.14461082	1.12126667	0	0	0	0	0	3
305	35	0	0.693181818	0.150004776	-0.02864178	-0.624771491	0.718902866	1.13030177	0	0	0	0	0	3
310	36	0	0.704545455	0.244114906	-0.0394324155	-0.624771491	0.628075096	1.11017567	0	0	0	0	0	3
315	36	0	0.715909091	0.273592131	-0.0441990784	-0.624771491	0.628075096	1.08699578	0	0	0	0	0	3
320	37	0	0.727272727	0.235238948	-0.0498496847	-0.624771491	0.628075096	1.06633988	0	0	0	0	0	3
325	37	0	0.738636364	0.297505469	-0.0536348695	-0.624771491	0.628075096	1.04740567	0	0	0	0	0	3
330	38	0	0.75	0.319503116	-0.0575994362	-0.624771491	0.628075096	1.01937787	0	0	0	0	0	3
335	39	0	0.761363636	0.292390467	-0.0560895211	-0.624771491	0.628075096	0.995423772	0	0	0	0	0	3
340	39	0	0.772727273	0.260380182	-0.0584201053	-0.624771491	0.628075096	0.984331008	0	0	0	0	0	3
345	40	0	0.784090909	0.358909728	-0.049146109	-0.624771491	0.628075096	0.984331008	0	0	0	0	0	3
350	40	0	0.795454545	0.396739659	-0.0542868965	-0.624771491	0.396739659	0.957842069	0	0	0	0	0	3
355	41	0	0.806818182	0.284853431	-0.0526392543	-0.624771491	0.396739659	0.934344324	0	0	0	0	0	3
360	42	0	0.818181818	0.441676234	-0.0547590243	-0.624771491	0.441676234	0.885386055	0	0	0	0	0	3
365	42	0	0.829545455	0.412033801	-0.0463554971	-0.624771491	0.441676234	0.860599307	0	0	0	0	0	3
370	43	0	0.840909091	0.535682885	-0.035512176	-0.624771491	0.535682885	0.828474501	0	0	0	0	0	3
