Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00227272727	293.501491	293.501491	293.501491	293.501491	0	0	0	0	0	0	3
5	1	0	0.0113636364	294.133958	293.817725	293.501491	294.133958	0.316233718	0	0	0	0	0	3
10	1	0	0.0227272727	294.50258	294.04601	293.501491	294.50258	0.544518985	0	0	0	0	0	3
15	1	0	0.0340909091	294.700945	294.209744	293.501491	294.700945	0.708252778	0	0	0	0	0	3
20	2	0	0.0454545455	294.922357	294.352266	293.501491	294.922357	0.850775348	0	0	0	0	0	3
25	2	0	0.0568181818	295.189645	294.491829	293.501491	295.189645	0.990338536	0	0	0	0	0	3
30	2	0	0.0681818182	295.492228	294.634744	293.501491	295.492228	1.13325267	0	0	0	0	0	3
35	2	0	0.0795454545	295.824554	294.78347	293.501491	295.824554	1.28197893	0	0	0	0	0	3
40	3	0	0.0909090909	296.151029	294.935421	293.501491	296.151029	1.43392994	0	0	0	0	0	3
45	3	0	0.102272727	296.415211	295.0834	293.501491	296.415211	1.58190893	0	0	0	0	0	3
50	3	0	0.113636364	296.584057	295.219823	293.501491	296.584057	1.71833229	0	0	0	0	0	3
55	3	0	0.125	296.661342	295.33995	293.501491	296.661342	1.83845885	0	0	0	0	0	3
60	4	0	0.136363636	296.664645	295.441849	293.501491	296.664645	1.94035849	0	0	0	0	0	3
65	4	0	0.147727273	296.61834	295.525884	293.501491	296.664645	2.02439355	0	0	0	0	0	3
70	4	0	0.159090909	296.559246	295.594775	293.501491	296.664645	2.09328432	0	0	0	0	0	3
75	4	0	0.170454545	296.519309	295.652559	293.501491	296.664645	2.15106765	0	0	0	0	0	3
80	5	0	0.181818182	296.513416	295.703197	293.501491	296.664645	2.20170632	0	0	0	0	0	3
85	5	0	0.193181818	296.547622	295.75011	293.501491	296.664645	2.24861879	0	0	0	0	0	3
90	5	0	0.204545455	296.63321	295.796589	293.501491	296.664645	2.29509776	0	0	0	0	0	3
95	5	0	0.215909091	296.765859	295.845052	293.501491	296.765859	2.34356128	0	0	0	0	0	3
