Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00227272727	-9.47928967	-9.47928967	-9.47928967	-9.47928967	0	0	0	0	0	0	3
5	1	0	0.0113636364	-9.82914662	-9.65421815	-9.82914662	-9.47928967	0.174928476	0	0	0	0	0	3
10	2	0	0.0227272727	-9.95436602	-9.75426744	-9.95436602	-9.47928967	0.274977769	0	0	0	0	0	3
15	2	0	0.0340909091	-9.89829376	-9.79027402	-9.95436602	-9.47928967	0.310984348	0	0	0	0	0	3
20	3	0	0.0454545455	-9.80219635	-9.79265848	-9.95436602	-9.47928967	0.313368814	0	0	0	0	0	3
25	3	0	0.0568181818	-9.65779145	-9.77018064	-9.95436602	-9.47928967	0.313368814	0	0	0	0	0	3
30	4	0	0.0681818182	-9.65467778	-9.75368024	-9.95436602	-9.47928967	0.313368814	0	0	0	0	0	3
35	5	0	0.0795454545	-9.74437402	-9.75251696	-9.95436602	-9.47928967	0.313368814	0	0	0	0	0	3
40	5	0	0.0909090909	-9.93232418	-9.77249554	-9.95436602	-9.47928967	0.313368814	0	0	0	0	0	3
45	6	0	0.102272727	-10.1655833	-9.81180431	-10.1655833	-9.47928967	0.332514645	0	0	0	0	0	3
50	6	0	0.113636364	-10.3488013	-9.86062222	-10.3488013	-9.47928967	0.381332548	0	0	0	0	0	3
55	7	0	0.125	-10.5048895	-9.91431116	-10.5048895	-9.47928967	0.435021489	0	0	0	0	0	3
60	8	0	0.136363636	-10.7379095	-9.97766488	-10.7379095	-9.47928967	0.498375208	0	0	0	0	0	3
65	8	0	0.147727273	-11.0837821	-10.0566732	-11.0837821	-9.47928967	0.577383579	0	0	0	0	0	3
70	9	0	0.159090909	-11.533834	-10.1551506	-11.533834	-9.47928967	0.675860966	0	0	0	0	0	3
75	9	0	0.170454545	-12.0593888	-10.2741655	-12.0593888	-9.47928967	0.794875853	0	0	0	0	0	3
