Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00227272727	-576.576686	-576.576686	-576.576686	-576.576686	0	0	0	0	0	0	3
5	1	0	0.0113636364	-577.8896	-577.233143	-577.8896	-576.576686	0.656457369	0	0	0	0	0	3
10	2	0	0.0227272727	-581.636791	-578.701026	-581.636791	-576.576686	2.12434011	0	0	0	0	0	3
15	2	0	0.0340909091	-585.072141	-580.293805	-585.072141	-576.576686	3.71711891	0	0	0	0	0	3
20	3	0	0.0454545455	-587.869392	-581.808922	-587.869392	-576.576686	5.23223636	0	0	0	0	0	3
25	3	0	0.0568181818	-589.584363	-583.104829	-589.584363	-576.576686	6.52814326	0	0	0	0	0	3
30	4	0	0.0681818182	-590.011602	-584.091511	-590.011602	-576.576686	7.5148252	0	0	0	0	0	3
35	5	0	0.0795454545	-589.516289	-584.769608	-590.011602	-576.576686	8.19292251	0	0	0	0	0	3
40	5	0	0.0909090909	-588.601144	-585.195334	-590.011602	-576.576686	8.61864875	0	0	0	0	0	3
45	6	0	0.102272727	-587.833404	-585.459141	-590.011602	-576.576686	8.88245574	0	0	0	0	0	3
50	6	0	0.113636364	-587.066507	-585.605265	-590.011602	-576.576686	9.02857985	0	0	0	0	0	3
55	7	0	0.125	-586.320253	-585.664848	-590.011602	-576.576686	9.08816217	0	0	0	0	0	3
60	8	0	0.136363636	-585.512971	-585.653165	-590.011602	-576.576686	9.08816217	0	0	0	0	0	3
65	8	0	0.147727273	-584.75607	-585.589087	-590.011602	-576.576686	9.08816217	0	0	0	0	0	3
70	9	0	0.159090909	-584.116061	-585.490885	-590.011602	-576.576686	9.08816217	0	0	0	0	0	3
75	9	0	0.170454545	-583.255239	-585.351157	-590.011602	-576.576686	9.08816217	0	0	0	0	0	3
80	10	0	0.181818182	-581.661419	-585.134114	-590.011602	-576.576686	9.08816217	0	0	0	0	0	3
85	11	0	0.193181818	-579.420743	-584.816704	-590.011602	-576.576686	9.08816217	0	0	0	0	0	3
90	11	0	0.204545455	-576.666347	-584.387738	-590.011602	-576.576686	9.08816217	0	0	0	0	0	3
95	12	0	0.215909091	-573.644466	-583.850574	-590.011602	-573.644466	9.08816217	0	0	0	0	0	3
100	12	0	0.227272727	-570.6406	-583.221528	-590.011602	-570.6406	9.08816217	0	0	0	0	0	3
105	13	0	0.238636364	-567.983173	-582.528876	-590.011602	-567.983173	9.08816217	0	0	0	0	0	3
110	14	0	0.25	-565.90867	-581.806258	-590.011602	-565.90867	9.08816217	0	0	0	0	0	3
115	14	0	0.261363636	-564.532704	-581.086526	-590.011602	-564.532704	9.08816217	0	0	0	0	0	3
120	15	0	0.272727273	-563.939573	-580.400648	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
125	16	0	0.284090909	-564.112463	-579.77418	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
130	17	0	0.295454545	-564.997669	-579.226901	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
135	18	0	0.306818182	-566.455368	-578.770775	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
140	18	0	0.318181818	-568.29831	-578.409656	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
145	19	0	0.329545455	-570.241745	-578.137392	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
150	19	0	0.340909091	-572.074997	-577.941831	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
155	20	0	0.352272727	-573.639073	-577.80737	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
160	20	0	0.363636364	-574.835466	-577.717312	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
165	21	0	0.375	-575.621188	-577.655661	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
170	21	0	0.386363636	-576.019907	-577.608926	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
175	22	0	0.397727273	-576.096789	-577.566922	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
180	23	0	0.409090909	-575.931398	-577.522718	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
185	23	0	0.420454545	-575.612038	-577.472437	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
190	24	0	0.431818182	-575.217995	-577.414631	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
195	24	0	0.443181818	-574.812448	-577.349577	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
200	25	0	0.454545455	-574.455882	-577.278999	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
205	25	0	0.465909091	-574.194098	-577.205549	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
210	26	0	0.477272727	-574.057697	-577.132343	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
215	26	0	0.488636364	-574.063952	-577.062607	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
220	27	0	0.5	-574.213051	-576.999283	-590.011602	-563.939573	9.08816217	0	0	0	0	0	3
225	28	0	0.511363636	-574.497968	-576.931805	-590.011602	-563.939573	8.7330427	0	0	0	0	0	3
230	28	0	0.522727273	-574.910675	-576.778939	-590.011602	-563.939573	8.88590897	0	0	0	0	0	3
235	29	0	0.534090909	-575.432422	-576.559854	-590.011602	-563.939573	9.1049935	0	0	0	0	0	3
240	29	0	0.545454545	-576.037245	-576.548241	-590.011602	-563.939573	9.11660705	0	0	0	0	0	3
245	30	0	0.556818182	-576.69181	-576.29985	-590.011602	-563.939573	9.36499774	0	0	0	0	0	3
250	30	0	0.568181818	-577.36227	-575.710444	-589.516289	-563.939573	9.95440334	0	0	0	0	0	3
255	31	0	0.579545455	-578.023798	-575.449251	-588.601144	-563.939573	10.2155963	0	0	0	0	0	3
260	32	0	0.590909091	-578.663395	-575.223394	-587.833404	-563.939573	10.4414543	0	0	0	0	0	3
265	32	0	0.602272727	-579.270742	-575.028788	-587.066507	-563.939573	10.6360602	0	0	0	0	0	3
270	33	0	0.613636364	-579.83849	-574.864514	-586.320253	-563.939573	10.8003333	0	0	0	0	0	3
275	33	0	0.625	-580.362985	-574.729122	-585.512971	-563.939573	10.924043	0	0	0	0	0	3
280	34	0	0.636363636	-580.845152	-574.623035	-584.75607	-563.939573	10.9660516	0	0	0	0	0	3
285	34	0	0.647727273	-581.295195	-574.544379	-584.116061	-563.939573	10.9465061	0	0	0	0	0	3
290	35	0	0.659090909	-581.720546	-574.489935	-583.255239	-563.939573	10.8612217	0	0	0	0	0	3
295	36	0	0.670454545	-582.134611	-574.464467	-582.134611	-563.939573	10.6696471	0	0	0	0	0	3
300	36	0	0.681818182	-582.544691	-574.644027	-582.544691	-563.939573	10.6696471	0	0	0	0	0	3
305	37	0	0.693181818	-582.954419	-574.564852	-582.954419	-563.939573	9.9232714	0	0	0	0	0	3
310	37	0	0.704545455	-583.360378	-574.716989	-583.360378	-563.939573	9.3861078	0	0	0	0	0	3
315	38	0	0.715909091	-583.755275	-574.94678	-583.755275	-563.939573	8.7570614	0	0	0	0	0	3
320	39	0	0.727272727	-584.144351	-575.253683	-584.144351	-563.939573	8.0644089	0	0	0	0	0	3
325	39	0	0.738636364	-584.523437	-575.629599	-584.523437	-563.939573	7.34179125	0	0	0	0	0	3
330	40	0	0.75	-584.902694	-576.061281	-584.902694	-563.939573	6.62205985	0	0	0	0	0	3
335	40	0	0.761363636	-585.284439	-576.532911	-585.284439	-563.939573	5.9361817	0	0	0	0	0	3
340	41	0	0.772727273	-585.66826	-577.026745	-585.66826	-564.112463	5.30971302	0	0	0	0	0	3
345	41	0	0.784090909	-586.061026	-577.227507	-586.061026	-564.112463	5.30971302	0	0	0	0	0	3
350	42	0	0.795454545	-586.458846	-577.724093	-586.458846	-564.997669	4.76243484	0	0	0	0	0	3
355	42	0	0.806818182	-586.851194	-578.209727	-586.851194	-566.455368	4.30630866	0	0	0	0	0	3
