Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00227272727	22.219796	22.219796	22.219796	22.219796	0	0	0	0	0	0	3
5	1	0	0.0113636364	69.9236036	46.0716998	22.219796	69.9236036	23.8519038	0	0	0	0	0	3
10	2	0	0.0227272727	89.327093	60.4901642	22.219796	89.327093	38.2703682	0	0	0	0	0	3
15	2	0	0.0340909091	90.9372689	68.1019404	22.219796	90.9372689	45.8821444	0	0	0	0	0	3
20	3	0	0.0454545455	87.1118723	71.9039268	22.219796	90.9372689	49.6841308	0	0	0	0	0	3
25	3	0	0.0568181818	82.0724489	73.5986805	22.219796	90.9372689	51.3788844	0	0	0	0	0	3
30	4	0	0.0681818182	77.4839605	74.1537205	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
35	5	0	0.0795454545	73.5978996	74.0842428	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
40	5	0	0.0909090909	70.3515064	73.6694944	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
45	6	0	0.102272727	67.4351169	73.0460566	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
50	6	0	0.113636364	64.4728476	72.266674	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
55	7	0	0.125	61.2916344	71.3520873	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
60	8	0	0.136363636	57.9769371	70.3232296	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
65	8	0	0.147727273	54.6220965	69.2017201	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
70	9	0	0.159090909	51.3600544	68.0122757	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
75	9	0	0.170454545	48.3110972	66.7809521	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
80	10	0	0.181818182	45.61316	65.5357878	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
85	11	0	0.193181818	43.1645332	64.2929404	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
90	11	0	0.204545455	40.8004402	63.056493	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
95	12	0	0.215909091	38.4371174	61.8255242	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
100	12	0	0.227272727	36.18561	60.6045759	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
105	13	0	0.238636364	34.1329939	59.4013222	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
110	14	0	0.25	32.3281252	58.2242267	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
115	14	0	0.261363636	30.7970793	57.0814289	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
120	15	0	0.272727273	29.522028	55.9790528	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
125	16	0	0.284090909	28.458019	54.9205515	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
130	17	0	0.295454545	27.5592435	53.9071697	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
135	18	0	0.306818182	26.7959762	52.9389128	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
140	18	0	0.318181818	26.0803605	52.0127559	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
145	19	0	0.329545455	25.4264713	51.1265464	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
150	19	0	0.340909091	24.8371955	50.2785028	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
155	20	0	0.352272727	24.3038822	49.4667959	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
160	20	0	0.363636364	23.8319452	48.6899822	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
165	21	0	0.375	23.4179589	47.9466874	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
170	21	0	0.386363636	23.0731275	47.2360143	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
175	22	0	0.397727273	22.747534	46.5557787	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
180	23	0	0.409090909	22.4180555	45.9034078	22.219796	90.9372689	51.9339244	0	0	0	0	0	3
185	23	0	0.420454545	22.0623194	45.2760108	22.0623194	90.9372689	51.9339244	0	0	0	0	0	3
190	24	0	0.431818182	21.6846469	44.671104	21.6846469	90.9372689	51.9339244	0	0	0	0	0	3
195	24	0	0.443181818	21.2931804	44.0866559	21.2931804	90.9372689	51.9339244	0	0	0	0	0	3
200	25	0	0.454545455	20.9026611	43.5211926	20.9026611	90.9372689	51.9339244	0	0	0	0	0	3
205	25	0	0.465909091	20.5186391	42.9735128	20.5186391	90.9372689	51.9339244	0	0	0	0	0	3
210	26	0	0.477272727	20.151952	42.4427788	20.151952	90.9372689	51.9339244	0	0	0	0	0	3
215	26	0	0.488636364	19.7978312	41.9281209	19.7978312	90.9372689	51.9339244	0	0	0	0	0	3
220	27	0	0.5	19.4659305	41.4289611	19.4659305	90.9372689	51.9339244	0	0	0	0	0	3
225	28	0	0.511363636	19.1669986	40.7119739	19.1669986	90.9372689	33.4417466	0	0	0	0	0	3
230	28	0	0.522727273	18.8995679	39.1113483	18.8995679	90.9372689	35.0423722	0	0	0	0	0	3
235	29	0	0.534090909	18.6651741	37.4688007	18.6651741	87.1118723	36.6849198	0	0	0	0	0	3
240	29	0	0.545454545	18.4720854	37.0466514	18.4720854	87.1118723	37.107069	0	0	0	0	0	3
245	30	0	0.556818182	18.3227492	35.5180043	18.3227492	82.0724489	38.6357162	0	0	0	0	0	3
250	30	0	0.568181818	18.2202611	33.1130464	18.2202611	73.5978996	40.9711964	0	0	0	0	0	3
255	31	0	0.579545455	18.1621742	31.8531436	18.1621742	70.3515064	41.8163508	0	0	0	0	0	3
260	32	0	0.590909091	18.134429	30.6663918	18.134429	67.4351169	42.3796648	0	0	0	0	0	3
265	32	0	0.602272727	18.1257454	29.5457243	18.1257454	64.4728476	42.7209497	0	0	0	0	0	3
270	33	0	0.613636364	18.1254348	28.492374	18.1254348	61.2916344	42.8597133	0	0	0	0	0	3
275	33	0	0.625	18.1308193	27.5114464	18.1254348	57.9769371	39.8515023	0	0	0	0	0	3
280	34	0	0.636363636	18.1431126	26.6061322	18.1254348	54.6220965	36.4966617	0	0	0	0	0	3
285	34	0	0.647727273	18.1587371	25.7774195	18.1254348	51.3600544	33.2346195	0	0	0	0	0	3
290	35	0	0.659090909	18.1789423	25.0233033	18.1254348	48.3110972	30.1856624	0	0	0	0	0	3
295	36	0	0.670454545	18.1982702	24.3389209	18.1254348	45.61316	27.4877252	0	0	0	0	0	3
300	36	0	0.681818182	18.2149762	24.2028332	18.1254348	45.61316	27.4877252	0	0	0	0	0	3
305	37	0	0.693181818	18.2271693	23.1494766	18.1254348	40.8004402	22.6750054	0	0	0	0	0	3
310	37	0	0.704545455	18.236165	22.6366522	18.1254348	38.4371174	20.3116826	0	0	0	0	0	3
