Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00227272727	101431.067	101431.067	101431.067	101431.067	0	0	0	0	0	0	3
5	1	0	0.0113636364	101670.352	101550.71	101431.067	101670.352	119.642386	0	0	0	0	0	3
10	2	0	0.0227272727	101811.561	101637.66	101431.067	101811.561	206.592703	0	0	0	0	0	3
15	2	0	0.0340909091	101902.898	101703.969	101431.067	101902.898	272.902243	0	0	0	0	0	3
20	3	0	0.0454545455	102005.632	101764.302	101431.067	102005.632	333.234648	0	0	0	0	0	3
25	3	0	0.0568181818	102128.954	101825.077	101431.067	102128.954	394.010041	0	0	0	0	0	3
30	4	0	0.0681818182	102270.232	101888.671	101431.067	102270.232	457.603562	0	0	0	0	0	3
35	5	0	0.0795454545	102432.857	101956.694	101431.067	102432.857	525.626789	0	0	0	0	0	3
40	5	0	0.0909090909	102596.658	102027.801	101431.067	102596.658	596.733939	0	0	0	0	0	3
45	6	0	0.102272727	102714.552	102096.476	101431.067	102714.552	665.409024	0	0	0	0	0	3
50	6	0	0.113636364	102751.683	102156.041	101431.067	102751.683	724.973256	0	0	0	0	0	3
55	7	0	0.125	102703.226	102201.639	101431.067	102751.683	770.572053	0	0	0	0	0	3
60	8	0	0.136363636	102583.675	102231.027	101431.067	102751.683	799.959432	0	0	0	0	0	3
65	8	0	0.147727273	102414.165	102244.108	101431.067	102751.683	813.040731	0	0	0	0	0	3
70	9	0	0.159090909	102216.632	102242.276	101431.067	102751.683	813.040731	0	0	0	0	0	3
75	9	0	0.170454545	102015.033	102228.074	101431.067	102751.683	813.040731	0	0	0	0	0	3
80	10	0	0.181818182	101834.335	102204.912	101431.067	102751.683	813.040731	0	0	0	0	0	3
85	11	0	0.193181818	101691.969	102176.416	101431.067	102751.683	813.040731	0	0	0	0	0	3
90	11	0	0.204545455	101596.51	102145.894	101431.067	102751.683	813.040731	0	0	0	0	0	3
95	12	0	0.215909091	101548.405	102116.02	101431.067	102751.683	813.040731	0	0	0	0	0	3
100	12	0	0.227272727	101538.124	102088.501	101431.067	102751.683	813.040731	0	0	0	0	0	3
105	13	0	0.238636364	101560.964	102064.522	101431.067	102751.683	813.040731	0	0	0	0	0	3
110	14	0	0.25	101613.387	102044.907	101431.067	102751.683	813.040731	0	0	0	0	0	3
115	14	0	0.261363636	101685.671	102029.939	101431.067	102751.683	813.040731	0	0	0	0	0	3
120	15	0	0.272727273	101768.412	102019.478	101431.067	102751.683	813.040731	0	0	0	0	0	3
125	16	0	0.284090909	101854.304	102013.125	101431.067	102751.683	813.040731	0	0	0	0	0	3
130	17	0	0.295454545	101937.684	102010.331	101431.067	102751.683	813.040731	0	0	0	0	0	3
135	18	0	0.306818182	102017.89	102010.601	101431.067	102751.683	813.040731	0	0	0	0	0	3
140	18	0	0.318181818	102093.699	102013.467	101431.067	102751.683	813.040731	0	0	0	0	0	3
145	19	0	0.329545455	102164.687	102018.507	101431.067	102751.683	813.040731	0	0	0	0	0	3
150	19	0	0.340909091	102231.568	102025.38	101431.067	102751.683	813.040731	0	0	0	0	0	3
155	20	0	0.352272727	102295.511	102033.822	101431.067	102751.683	813.040731	0	0	0	0	0	3
160	20	0	0.363636364	102357.495	102043.63	101431.067	102751.683	813.040731	0	0	0	0	0	3
165	21	0	0.375	102418.246	102054.648	101431.067	102751.683	813.040731	0	0	0	0	0	3
170	21	0	0.386363636	102477.99	102066.744	101431.067	102751.683	813.040731	0	0	0	0	0	3
175	22	0	0.397727273	102536.58	102079.795	101431.067	102751.683	813.040731	0	0	0	0	0	3
180	23	0	0.409090909	102597.185	102093.778	101431.067	102751.683	813.040731	0	0	0	0	0	3
185	23	0	0.420454545	102658.457	102108.638	101431.067	102751.683	813.040731	0	0	0	0	0	3
190	24	0	0.431818182	102720.722	102124.333	101431.067	102751.683	813.040731	0	0	0	0	0	3
195	24	0	0.443181818	102784.674	102140.841	101431.067	102784.674	813.040731	0	0	0	0	0	3
200	25	0	0.454545455	102850.505	102158.15	101431.067	102850.505	813.040731	0	0	0	0	0	3
205	25	0	0.465909091	102918.819	102176.261	101431.067	102918.819	813.040731	0	0	0	0	0	3
210	26	0	0.477272727	102996.197	102195.329	101431.067	102996.197	813.040731	0	0	0	0	0	3
215	26	0	0.488636364	103073.954	102215.298	101431.067	103073.954	813.040731	0	0	0	0	0	3
220	27	0	0.5	103151.697	102236.107	101431.067	103151.697	813.040731	0	0	0	0	0	3
225	28	0	0.511363636	103229.406	102289.837	101538.124	103229.406	652.176553	0	0	0	0	0	3
230	28	0	0.522727273	103307.106	102323.826	101538.124	103307.106	619.856675	0	0	0	0	0	3
235	29	0	0.534090909	103384.662	102357.503	101538.124	103384.662	593.200712	0	0	0	0	0	3
240	29	0	0.545454545	103461.779	102382.042	101538.124	103461.779	617.740196	0	0	0	0	0	3
245	30	0	0.556818182	103539.304	102416.124	101538.124	103539.304	591.046411	0	0	0	0	0	3
250	30	0	0.568181818	103620.825	102453.346	101538.124	103620.825	496.65154	0	0	0	0	0	3
255	31	0	0.579545455	103701.462	102482.178	101538.124	103701.462	471.846314	0	0	0	0	0	3
