Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.00227272727	55.4448519	55.4448519	55.4448519	55.4448519	0	0	0	0	0	0	3
5	1	0	0.0113636364	49.6600976	52.5524747	49.6600976	55.4448519	2.89237716	0	0	0	0	0	3
10	1	0	0.0227272727	48.6396459	51.2481984	48.6396459	55.4448519	4.19665345	0	0	0	0	0	3
15	2	0	0.0340909091	48.249893	50.4986221	48.249893	55.4448519	4.9462298	0	0	0	0	0	3
20	2	0	0.0454545455	47.3256725	49.8640322	47.3256725	55.4448519	5.58081972	0	0	0	0	0	3
25	3	0	0.0568181818	46.4568716	49.2961721	46.4568716	55.4448519	6.14867981	0	0	0	0	0	3
30	3	0	0.0681818182	45.7027669	48.7828285	45.7027669	55.4448519	6.66202341	0	0	0	0	0	3
35	4	0	0.0795454545	44.1710255	48.2063531	44.1710255	55.4448519	7.23849878	0	0	0	0	0	3
40	4	0	0.0909090909	42.915293	47.6184575	42.915293	55.4448519	7.82639435	0	0	0	0	0	3
45	5	0	0.102272727	41.5986724	47.016479	41.5986724	55.4448519	8.42837286	0	0	0	0	0	3
50	5	0	0.113636364	40.515128	46.4254471	40.515128	55.4448519	9.01940478	0	0	0	0	0	3
55	6	0	0.125	39.5604196	45.8533615	39.5604196	55.4448519	9.5914904	0	0	0	0	0	3
60	6	0	0.136363636	39.4319965	45.3594103	39.4319965	55.4448519	10.0854415	0	0	0	0	0	3
65	7	0	0.147727273	38.355409	44.8591245	38.355409	55.4448519	10.5857274	0	0	0	0	0	3
70	8	0	0.159090909	37.9024903	44.3953489	37.9024903	55.4448519	11.049503	0	0	0	0	0	3
75	8	0	0.170454545	36.6375794	43.9104883	36.6375794	55.4448519	11.5343636	0	0	0	0	0	3
80	9	0	0.181818182	35.521284	43.4170057	35.521284	55.4448519	12.0278462	0	0	0	0	0	3
85	9	0	0.193181818	35.1463458	42.9575246	35.1463458	55.4448519	12.4873273	0	0	0	0	0	3
90	10	0	0.204545455	34.8035191	42.5283664	34.8035191	55.4448519	12.9164855	0	0	0	0	0	3
95	10	0	0.215909091	34.009865	42.1024414	34.009865	55.4448519	13.3424105	0	0	0	0	0	3
100	11	0	0.227272727	33.8363594	41.7088184	33.8363594	55.4448519	13.7360335	0	0	0	0	0	3
105	12	0	0.238636364	33.6146805	41.340903	33.6146805	55.4448519	14.1039488	0	0	0	0	0	3
110	13	0	0.25	33.5503194	41.002182	33.5503194	55.4448519	14.4426699	0	0	0	0	0	3
115	13	0	0.261363636	33.1676835	40.6757446	33.1676835	55.4448519	14.7691073	0	0	0	0	0	3
120	14	0	0.272727273	33.0232663	40.3696454	33.0232663	55.4448519	15.0752064	0	0	0	0	0	3
125	14	0	0.284090909	32.8867657	40.0818424	32.8867657	55.4448519	15.3630095	0	0	0	0	0	3
130	15	0	0.295454545	32.7083975	39.8087518	32.7083975	55.4448519	15.6361001	0	0	0	0	0	3
135	16	0	0.306818182	32.4018229	39.5442187	32.4018229	55.4448519	15.9006332	0	0	0	0	0	3
140	16	0	0.318181818	32.1547468	39.2894093	32.1547468	55.4448519	16.1554426	0	0	0	0	0	3
145	17	0	0.329545455	31.9019222	39.0431597	31.9019222	55.4448519	16.4016922	0	0	0	0	0	3
150	17	0	0.340909091	31.7458636	38.8077631	31.7458636	55.4448519	16.6370888	0	0	0	0	0	3
155	18	0	0.352272727	31.6387047	38.58373	31.6387047	55.4448519	16.8611219	0	0	0	0	0	3
160	19	0	0.363636364	31.4456378	38.3674242	31.4456378	55.4448519	17.0774277	0	0	0	0	0	3
165	19	0	0.375	31.216844	38.157113	31.216844	55.4448519	17.2877389	0	0	0	0	0	3
170	20	0	0.386363636	30.9419283	37.9509648	30.9419283	55.4448519	17.493887	0	0	0	0	0	3
175	20	0	0.397727273	30.738693	37.750624	30.738693	55.4448519	17.6942279	0	0	0	0	0	3
180	21	0	0.409090909	30.5831722	37.5569091	30.5831722	55.4448519	17.8879428	0	0	0	0	0	3
185	22	0	0.420454545	30.4775947	37.3706113	30.4775947	55.4448519	18.0742406	0	0	0	0	0	3
190	22	0	0.431818182	30.2430353	37.1878529	30.2430353	55.4448519	18.2569989	0	0	0	0	0	3
195	23	0	0.443181818	30.1305156	37.0114195	30.1305156	55.4448519	18.4334324	0	0	0	0	0	3
200	24	0	0.454545455	29.9775227	36.8398611	29.9775227	55.4448519	18.6049908	0	0	0	0	0	3
205	24	0	0.465909091	29.8506839	36.6734521	29.8506839	55.4448519	18.7713998	0	0	0	0	0	3
210	25	0	0.477272727	29.7651577	36.5127941	29.7651577	55.4448519	18.9320578	0	0	0	0	0	3
215	26	0	0.488636364	29.6498339	36.3568177	29.6498339	55.4448519	19.0880342	0	0	0	0	0	3
220	26	0	0.5	29.5681877	36.2059593	29.5681877	55.4448519	19.2388926	0	0	0	0	0	3
225	27	0	0.511363636	29.4252631	35.3088291	29.4252631	48.6396459	15.9393693	0	0	0	0	0	3
230	28	0	0.522727273	29.2648522	34.8684929	29.2648522	48.249893	15.6301292	0	0	0	0	0	3
235	28	0	0.534090909	29.2460946	34.4365884	29.2460946	47.3256725	15.4274438	0	0	0	0	0	3
240	29	0	0.545454545	29.1344306	34.3187626	29.1344306	47.3256725	15.5452695	0	0	0	0	0	3
245	30	0	0.556818182	29.0244071	33.9120678	29.0244071	46.4568716	15.3841042	0	0	0	0	0	3
250	30	0	0.568181818	28.9365155	33.2459075	28.9365155	44.1710255	14.9604456	0	0	0	0	0	3
255	31	0	0.579545455	28.8691085	32.8981367	28.8691085	42.915293	14.0461846	0	0	0	0	0	3
260	32	0	0.590909091	28.7768171	32.5768077	28.7768171	41.5986724	12.8218553	0	0	0	0	0	3
265	32	0	0.602272727	28.7497465	32.2847866	28.7497465	40.515128	11.7653815	0	0	0	0	0	3
270	33	0	0.613636364	28.6677256	32.0155275	28.6677256	39.5604196	10.8926941	0	0	0	0	0	3
275	34	0	0.625	28.6609028	31.7678112	28.6609028	39.4319965	10.7710937	0	0	0	0	0	3
280	35	0	0.636363636	28.6302033	31.5223159	28.6302033	38.355409	9.72520576	0	0	0	0	0	3
285	35	0	0.647727273	28.6418576	31.3015533	28.6302033	37.9024903	9.27228705	0	0	0	0	0	3
290	36	0	0.659090909	28.6289703	31.0907915	28.6289703	36.6375794	8.00860914	0	0	0	0	0	3
295	37	0	0.670454545	28.6956124	30.9102923	28.6289703	35.521284	6.89231367	0	0	0	0	0	3
300	37	0	0.681818182	28.7704107	30.8627394	28.6289703	35.521284	6.89231367	0	0	0	0	0	3
305	38	0	0.693181818	28.8219203	30.6131264	28.6289703	34.8035191	6.1745488	0	0	0	0	0	3
310	39	0	0.704545455	28.9037021	30.4790396	28.6289703	34.009865	5.38089474	0	0	0	0	0	3
315	40	0	0.715909091	28.9881543	30.3649099	28.6289703	33.8363594	5.20738911	0	0	0	0	0	3
320	40	0	0.727272727	29.0830591	30.2568803	28.6289703	33.6146805	4.98571018	0	0	0	0	0	3
325	41	0	0.738636364	29.1841221	30.1561858	28.6289703	33.5503194	4.9213491	0	0	0	0	0	3
330	42	0	0.75	29.1762155	30.0567743	28.6289703	33.1676835	4.53871324	0	0	0	0	0	3
335	42	0	0.761363636	29.2092228	29.9668093	28.6289703	33.0232663	4.39429603	0	0	0	0	0	3
340	43	0	0.772727273	29.1730804	29.8793051	28.6289703	32.8867657	4.25779542	0	0	0	0	0	3
345	44	0	0.784090909	29.3351128	29.8672119	28.6289703	32.8867657	4.25779542	0	0	0	0	0	3
350	44	0	0.795454545	29.2473508	29.786336	28.6289703	32.7083975	4.07942721	0	0	0	0	0	3
355	45	0	0.806818182	29.331642	29.711297	28.6289703	32.4018229	3.7728526	0	0	0	0	0	3
360	45	0	0.818181818	29.2426784	29.5839654	28.6289703	31.9019222	3.27295195	0	0	0	0	0	3
365	46	0	0.829545455	29.4364066	29.5279309	28.6289703	31.7458636	3.11689327	0	0	0	0	0	3
370	47	0	0.840909091	29.355907	29.4736137	28.6289703	31.6387047	3.00973439	0	0	0	0	0	3
375	48	0	0.852272727	29.2453583	29.4192195	28.6289703	31.4456378	2.81666753	0	0	0	0	0	3
380	48	0	0.863636364	29.0267052	29.3642437	28.6289703	31.216844	2.58787369	0	0	0	0	0	3
385	49	0	0.875	29.1577402	29.3174459	28.6289703	30.9419283	2.31295799	0	0	0	0	0	3
390	50	0	0.886363636	28.9591261	29.2723822	28.6289703	30.738693	2.10972266	0	0	0	0	0	3
395	51	0	0.897727273	29.0897784	29.2349069	28.6289703	30.5831722	1.95420194	0	0	0	0	0	3
400	51	0	0.909090909	28.8343984	29.2260067	28.6289703	30.5831722	1.95420194	0	0	0	0	0	3
405	52	0	0.920454545	28.7731311	29.1857836	28.6289703	30.4775947	1.84862441	0	0	0	0	0	3
410	53	0	0.931818182	28.4983725	29.1418009	28.4983725	30.2430353	1.74466273	0	0	0	0	0	3
415	54	0	0.943181818	28.659718	29.0833456	28.4983725	29.9775227	1.47915017	0	0	0	0	0	3
420	54	0	0.954545455	28.4147666	29.0478284	28.4147666	29.8506839	1.43591738	0	0	0	0	0	3
425	55	0	0.965909091	28.5818223	29.0189906	28.4147666	29.7651577	1.35039112	0	0	0	0	0	3
430	56	0	0.977272727	28.3974568	28.9879065	28.3974568	29.6498339	1.25237708	0	0	0	0	0	3
435	57	0	0.988636364	28.5466391	28.9628339	28.3974568	29.5681877	1.1707309	0	0	0	0	0	3
440	57	0	1	28.3264713	28.9346131	28.3264713	29.4364066	1.10993524	3.20004394	0	100	0	0	3
445	58	0	1.01136364	28.4559808	28.912584	28.3264713	29.4364066	1.10993524	3.20004394	0	100	0	0	3
450	59	0	1.02272727	28.2486861	28.8894893	28.2486861	29.4364066	1.18772047	3.20004394	0	100	0	0	3
455	60	0	1.03409091	28.3958538	28.8701656	28.2486861	29.4364066	1.18772047	3.20004394	0	100	0	0	3
460	61	0	1.04545455	28.1133388	28.846959	28.1133388	29.4364066	1.32306773	3.20004394	0	100	0	0	3
465	61	0	1.05681818	28.2690269	28.8297913	28.1133388	29.4364066	1.32306773	3.20004394	0	100	0	0	3
470	62	0	1.06818182	28.0573035	28.8126249	28.0573035	29.4364066	1.3791031	3.20004394	0	100	0	0	3
475	63	0	1.07954545	28.21058	28.7948426	28.0573035	29.4364066	1.3791031	3.20004394	0	100	0	0	3
480	64	0	1.09090909	28.0317598	28.7778852	28.0317598	29.4364066	1.40464678	3.20004394	0	100	0	0	3
485	65	0	1.10227273	28.1837429	28.7650458	28.0317598	29.4364066	1.40464678	3.20004394	0	100	0	0	3
490	66	0	1.11363636	27.9858813	28.747731	27.9858813	29.4364066	1.4505253	3.20004394	0	100	0	0	3
495	66	0	1.125	28.1644418	28.7382661	27.9858813	29.4364066	1.4505253	3.20004394	0	100	0	0	3
500	67	0	1.13636364	27.9666409	28.7231851	27.9666409	29.4364066	1.46976571	3.20004394	0	100	0	0	3
505	68	0	1.14772727	28.1144498	28.7111986	27.9666409	29.4364066	1.46976571	3.20004394	0	100	0	0	3
