Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.00227272727	0	0	0	0	0	0	0	0	0	0	3
5	1	0	0.0113636364	0	0	0	0	0	0	0	0	0	0	3
10	1	0	0.0227272727	0	0	0	0	0	0	0	0	0	0	3
15	2	0	0.0340909091	0	0	0	0	0	0	0	0	0	0	3
20	2	0	0.0454545455	0	0	0	0	0	0	0	0	0	0	3
25	3	0	0.0568181818	0	0	0	0	0	0	0	0	0	0	3
30	3	0	0.0681818182	0	0	0	0	0	0	0	0	0	0	3
35	4	0	0.0795454545	0	0	0	0	0	0	0	0	0	0	3
40	4	0	0.0909090909	0	0	0	0	0	0	0	0	0	0	3
45	5	0	0.102272727	0	0	0	0	0	0	0	0	0	0	3
50	5	0	0.113636364	0	0	0	0	0	0	0	0	0	0	3
55	6	0	0.125	0	0	0	0	0	0	0	0	0	0	3
60	6	0	0.136363636	0	0	0	0	0	0	0	0	0	0	3
65	7	0	0.147727273	0	0	0	0	0	0	0	0	0	0	3
70	8	0	0.159090909	0	0	0	0	0	0	0	0	0	0	3
75	8	0	0.170454545	0	0	0	0	0	0	0	0	0	0	3
80	9	0	0.181818182	0	0	0	0	0	0	0	0	0	0	3
85	9	0	0.193181818	0	0	0	0	0	0	0	0	0	0	3
90	10	0	0.204545455	0	0	0	0	0	0	0	0	0	0	3
95	10	0	0.215909091	0	0	0	0	0	0	0	0	0	0	3
100	11	0	0.227272727	0	0	0	0	0	0	0	0	0	0	3
105	12	0	0.238636364	0	0	0	0	0	0	0	0	0	0	3
110	13	0	0.25	0	0	0	0	0	0	0	0	0	0	3
115	13	0	0.261363636	0	0	0	0	0	0	0	0	0	0	3
120	14	0	0.272727273	0	0	0	0	0	0	0	0	0	0	3
125	14	0	0.284090909	0	0	0	0	0	0	0	0	0	0	3
130	15	0	0.295454545	0	0	0	0	0	0	0	0	0	0	3
135	16	0	0.306818182	0	0	0	0	0	0	0	0	0	0	3
140	16	0	0.318181818	0	0	0	0	0	0	0	0	0	0	3
145	17	0	0.329545455	0	0	0	0	0	0	0	0	0	0	3
150	17	0	0.340909091	0	0	0	0	0	0	0	0	0	0	3
155	18	0	0.352272727	0	0	0	0	0	0	0	0	0	0	3
160	19	0	0.363636364	0	0	0	0	0	0	0	0	0	0	3
165	19	0	0.375	0	0	0	0	0	0	0	0	0	0	3
170	20	0	0.386363636	0	0	0	0	0	0	0	0	0	0	3
175	20	0	0.397727273	0	0	0	0	0	0	0	0	0	0	3
180	21	0	0.409090909	0	0	0	0	0	0	0	0	0	0	3
185	22	0	0.420454545	0	0	0	0	0	0	0	0	0	0	3
190	22	0	0.431818182	0	0	0	0	0	0	0	0	0	0	3
195	23	0	0.443181818	0	0	0	0	0	0	0	0	0	0	3
200	24	0	0.454545455	0	0	0	0	0	0	0	0	0	0	3
205	24	0	0.465909091	0	0	0	0	0	0	0	0	0	0	3
210	25	0	0.477272727	0	0	0	0	0	0	0	0	0	0	3
215	26	0	0.488636364	0	0	0	0	0	0	0	0	0	0	3
220	26	0	0.5	0	0	0	0	0	0	0	0	0	0	3
225	27	0	0.511363636	0	0	0	0	0	0	0	0	0	0	3
230	28	0	0.522727273	0	0	0	0	0	0	0	0	0	0	3
235	28	0	0.534090909	0	0	0	0	0	0	0	0	0	0	3
240	29	0	0.545454545	0	0	0	0	0	0	0	0	0	0	3
245	30	0	0.556818182	0	0	0	0	0	0	0	0	0	0	3
250	30	0	0.568181818	0	0	0	0	0	0	0	0	0	0	3
255	31	0	0.579545455	0	0	0	0	0	0	0	0	0	0	3
260	32	0	0.590909091	0	0	0	0	0	0	0	0	0	0	3
265	32	0	0.602272727	0	0	0	0	0	0	0	0	0	0	3
270	33	0	0.613636364	0	0	0	0	0	0	0	0	0	0	3
275	34	0	0.625	0	0	0	0	0	0	0	0	0	0	3
280	35	0	0.636363636	0	0	0	0	0	0	0	0	0	0	3
285	35	0	0.647727273	0	0	0	0	0	0	0	0	0	0	3
290	36	0	0.659090909	0	0	0	0	0	0	0	0	0	0	3
295	37	0	0.670454545	0	0	0	0	0	0	0	0	0	0	3
300	37	0	0.681818182	0	0	0	0	0	0	0	0	0	0	3
305	38	0	0.693181818	0	0	0	0	0	0	0	0	0	0	3
310	39	0	0.704545455	0	0	0	0	0	0	0	0	0	0	3
315	40	0	0.715909091	0	0	0	0	0	0	0	0	0	0	3
320	40	0	0.727272727	0	0	0	0	0	0	0	0	0	0	3
325	41	0	0.738636364	0	0	0	0	0	0	0	0	0	0	3
330	42	0	0.75	0	0	0	0	0	0	0	0	0	0	3
335	42	0	0.761363636	0	0	0	0	0	0	0	0	0	0	3
340	43	0	0.772727273	0	0	0	0	0	0	0	0	0	0	3
345	44	0	0.784090909	0	0	0	0	0	0	0	0	0	0	3
350	44	0	0.795454545	0	0	0	0	0	0	0	0	0	0	3
355	45	0	0.806818182	0	0	0	0	0	0	0	0	0	0	3
360	45	0	0.818181818	0	0	0	0	0	0	0	0	0	0	3
365	46	0	0.829545455	0	0	0	0	0	0	0	0	0	0	3
370	47	0	0.840909091	0	0	0	0	0	0	0	0	0	0	3
375	48	0	0.852272727	0	0	0	0	0	0	0	0	0	0	3
380	48	0	0.863636364	0	0	0	0	0	0	0	0	0	0	3
385	49	0	0.875	0	0	0	0	0	0	0	0	0	0	3
390	50	0	0.886363636	0	0	0	0	0	0	0	0	0	0	3
395	51	0	0.897727273	0	0	0	0	0	0	0	0	0	0	3
400	51	0	0.909090909	0	0	0	0	0	0	0	0	0	0	3
405	52	0	0.920454545	0	0	0	0	0	0	0	0	0	0	3
410	53	0	0.931818182	0	0	0	0	0	0	0	0	0	0	3
415	54	0	0.943181818	0	0	0	0	0	0	0	0	0	0	3
420	54	0	0.954545455	0	0	0	0	0	0	0	0	0	0	3
425	55	0	0.965909091	0	0	0	0	0	0	0	0	0	0	3
430	56	0	0.977272727	0	0	0	0	0	0	0	0	0	0	3
435	57	0	0.988636364	0	0	0	0	0	0	0	0	0	0	3
440	57	0	1	0	0	0	0	0	0.001	0	0	0	0	3
445	58	0	1.01136364	0	0	0	0	0	0.001	0	0	0	0	3
450	59	0	1.02272727	0	0	0	0	0	0.001	0	0	0	0	3
455	60	0	1.03409091	0	0	0	0	0	0.001	0	0	0	0	3
460	61	0	1.04545455	0	0	0	0	0	0.001	0	0	0	0	3
465	61	0	1.05681818	0	0	0	0	0	0.001	0	0	0	0	3
470	62	0	1.06818182	0	0	0	0	0	0.001	0	0	0	0	3
475	63	0	1.07954545	0	0	0	0	0	0.001	0	0	0	0	3
480	64	0	1.09090909	0	0	0	0	0	0.001	0	0	0	0	3
485	65	0	1.10227273	0	0	0	0	0	0.001	0	0	0	0	3
490	66	0	1.11363636	0	0	0	0	0	0.001	0	0	0	0	3
495	66	0	1.125	0	0	0	0	0	0.001	0	0	0	0	3
500	67	0	1.13636364	0	0	0	0	0	0.001	0	0	0	0	3
505	68	0	1.14772727	0	0	0	0	0	0.001	0	0	0	0	3
510	69	0	1.15909091	0	0	0	0	0	0.001	0	0	0	0	3
515	70	0	1.17045455	0	0	0	0	0	0.001	0	0	0	0	3
520	70	0	1.18181818	0	0	0	0	0	0.001	0	0	0	0	3
525	71	0	1.19318182	0	0	0	0	0	0.001	0	0	0	0	3
530	72	0	1.20454545	0	0	0	0	0	0.001	0	0	0	0	3
535	72	0	1.21590909	0	0	0	0	0	0.001	0	0	0	0	3
540	73	0	1.22727273	0	0	0	0	0	0.001	0	0	0	0	3
545	74	0	1.23863636	0	0	0	0	0	0.001	0	0	0	0	3
550	75	0	1.25	0	0	0	0	0	0.001	0	0	0	0	3
555	75	0	1.26136364	0	0	0	0	0	0.001	0	0	0	0	3
560	76	0	1.27272727	0	0	0	0	0	0.001	0	0	0	0	3
565	76	0	1.28409091	0	0	0	0	0	0.001	0	0	0	0	3
570	77	0	1.29545455	0	0	0	0	0	0.001	0	0	0	0	3
575	78	0	1.30681818	0	0	0	0	0	0.001	0	0	0	0	3
580	78	0	1.31818182	0	0	0	0	0	0.001	0	0	0	0	3
585	79	0	1.32954545	0	0	0	0	0	0.001	0	0	0	0	3
590	79	0	1.34090909	0	0	0	0	0	0.001	0	0	0	0	3
595	80	0	1.35227273	0	0	0	0	0	0.001	0	0	0	0	3
600	80	0	1.36363636	0	0	0	0	0	0.001	0	0	0	0	3
605	81	0	1.375	0	0	0	0	0	0.001	0	0	0	0	3
610	81	0	1.38636364	0	0	0	0	0	0.001	0	0	0	0	3
