Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.00227272727	158815.386	158815.386	158815.386	158815.386	0	0	0	0	0	0	3
5	1	0	0.0113636364	157223.94	158019.663	157223.94	158815.386	795.722826	0	0	0	0	0	3
10	1	0	0.0227272727	155444.635	157161.32	155444.635	158815.386	1654.06531	0	0	0	0	0	3
15	2	0	0.0340909091	153739.503	156305.866	153739.503	158815.386	2509.51959	0	0	0	0	0	3
20	3	0	0.0454545455	152245.969	155493.887	152245.969	158815.386	3321.49898	0	0	0	0	0	3
25	3	0	0.0568181818	151006.133	154745.928	151006.133	158815.386	4069.4579	0	0	0	0	0	3
30	4	0	0.0681818182	150077.513	154079.012	150077.513	158815.386	4736.37426	0	0	0	0	0	3
35	4	0	0.0795454545	149470.15	153502.904	149470.15	158815.386	5312.48189	0	0	0	0	0	3
40	5	0	0.0909090909	149065.375	153009.845	149065.375	158815.386	5805.54068	0	0	0	0	0	3
45	6	0	0.102272727	148666.374	152575.498	148666.374	158815.386	6239.88777	0	0	0	0	0	3
50	6	0	0.113636364	148124.572	152170.868	148124.572	158815.386	6644.51739	0	0	0	0	0	3
55	7	0	0.125	147392.303	151772.655	147392.303	158815.386	7042.73116	0	0	0	0	0	3
60	8	0	0.136363636	146473.95	151365.062	146473.95	158815.386	7450.32381	0	0	0	0	0	3
65	8	0	0.147727273	145405.983	150939.413	145405.983	158815.386	7875.97229	0	0	0	0	0	3
70	9	0	0.159090909	144227.631	150491.961	144227.631	158815.386	8323.42446	0	0	0	0	0	3
75	9	0	0.170454545	143024.668	150025.255	143024.668	158815.386	8790.13031	0	0	0	0	0	3
80	10	0	0.181818182	141869.241	149545.49	141869.241	158815.386	9269.89585	0	0	0	0	0	3
85	11	0	0.193181818	140806.576	149059.995	140806.576	158815.386	9755.39105	0	0	0	0	0	3
90	11	0	0.204545455	139860.384	148575.805	139860.384	158815.386	10239.5811	0	0	0	0	0	3
95	12	0	0.215909091	139037.624	148098.896	139037.624	158815.386	10716.4901	0	0	0	0	0	3
100	13	0	0.227272727	138343.546	147634.355	138343.546	158815.386	11181.0306	0	0	0	0	0	3
105	13	0	0.238636364	137776.042	147186.25	137776.042	158815.386	11629.1357	0	0	0	0	0	3
110	14	0	0.25	137333.086	146757.852	137333.086	158815.386	12057.5342	0	0	0	0	0	3
115	15	0	0.261363636	137008.637	146351.634	137008.637	158815.386	12463.7514	0	0	0	0	0	3
120	15	0	0.272727273	136782.434	145968.866	136782.434	158815.386	12846.5194	0	0	0	0	0	3
125	16	0	0.284090909	136608.592	145608.856	136608.592	158815.386	13206.53	0	0	0	0	0	3
130	17	0	0.295454545	136461.714	145270.073	136461.714	158815.386	13545.313	0	0	0	0	0	3
135	17	0	0.306818182	136327.345	144950.69	136327.345	158815.386	13864.6961	0	0	0	0	0	3
140	18	0	0.318181818	136195.242	144648.778	136195.242	158815.386	14166.6081	0	0	0	0	0	3
145	19	0	0.329545455	136056.394	144362.365	136056.394	158815.386	14453.0209	0	0	0	0	0	3
150	19	0	0.340909091	135908.745	144089.667	135908.745	158815.386	14725.7183	0	0	0	0	0	3
155	20	0	0.352272727	135752.794	143829.14	135752.794	158815.386	14986.2456	0	0	0	0	0	3
