Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.00227272727	0	0	0	0	0	0	0	0	0	0	3
5	1	0	0.0113636364	0	0	0	0	0	0	0	0	0	0	3
10	1	0	0.0227272727	0	0	0	0	0	0	0	0	0	0	3
15	2	0	0.0340909091	0	0	0	0	0	0	0	0	0	0	3
20	3	0	0.0454545455	0	0	0	0	0	0	0	0	0	0	3
25	3	0	0.0568181818	0	0	0	0	0	0	0	0	0	0	3
30	4	0	0.0681818182	0	0	0	0	0	0	0	0	0	0	3
35	4	0	0.0795454545	0	0	0	0	0	0	0	0	0	0	3
40	5	0	0.0909090909	0	0	0	0	0	0	0	0	0	0	3
45	6	0	0.102272727	0	0	0	0	0	0	0	0	0	0	3
50	6	0	0.113636364	0	0	0	0	0	0	0	0	0	0	3
55	7	0	0.125	0	0	0	0	0	0	0	0	0	0	3
60	8	0	0.136363636	0	0	0	0	0	0	0	0	0	0	3
65	8	0	0.147727273	0	0	0	0	0	0	0	0	0	0	3
70	9	0	0.159090909	0	0	0	0	0	0	0	0	0	0	3
75	9	0	0.170454545	0	0	0	0	0	0	0	0	0	0	3
80	10	0	0.181818182	0	0	0	0	0	0	0	0	0	0	3
85	11	0	0.193181818	0	0	0	0	0	0	0	0	0	0	3
90	11	0	0.204545455	0	0	0	0	0	0	0	0	0	0	3
95	12	0	0.215909091	0	0	0	0	0	0	0	0	0	0	3
100	13	0	0.227272727	0	0	0	0	0	0	0	0	0	0	3
105	13	0	0.238636364	0	0	0	0	0	0	0	0	0	0	3
110	14	0	0.25	0	0	0	0	0	0	0	0	0	0	3
115	15	0	0.261363636	0	0	0	0	0	0	0	0	0	0	3
120	15	0	0.272727273	0	0	0	0	0	0	0	0	0	0	3
125	16	0	0.284090909	0	0	0	0	0	0	0	0	0	0	3
130	17	0	0.295454545	0	0	0	0	0	0	0	0	0	0	3
135	17	0	0.306818182	0	0	0	0	0	0	0	0	0	0	3
140	18	0	0.318181818	0	0	0	0	0	0	0	0	0	0	3
145	19	0	0.329545455	0	0	0	0	0	0	0	0	0	0	3
150	19	0	0.340909091	0	0	0	0	0	0	0	0	0	0	3
155	20	0	0.352272727	0	0	0	0	0	0	0	0	0	0	3
160	21	0	0.363636364	0	0	0	0	0	0	0	0	0	0	3
165	21	0	0.375	0	0	0	0	0	0	0	0	0	0	3
170	22	0	0.386363636	0	0	0	0	0	0	0	0	0	0	3
175	23	0	0.397727273	0	0	0	0	0	0	0	0	0	0	3
180	23	0	0.409090909	0	0	0	0	0	0	0	0	0	0	3
185	24	0	0.420454545	0	0	0	0	0	0	0	0	0	0	3
190	25	0	0.431818182	0	0	0	0	0	0	0	0	0	0	3
195	25	0	0.443181818	0	0	0	0	0	0	0	0	0	0	3
200	26	0	0.454545455	0	0	0	0	0	0	0	0	0	0	3
205	27	0	0.465909091	0	0	0	0	0	0	0	0	0	0	3
210	28	0	0.477272727	0	0	0	0	0	0	0	0	0	0	3
215	28	0	0.488636364	0	0	0	0	0	0	0	0	0	0	3
220	29	0	0.5	0	0	0	0	0	0	0	0	0	0	3
225	30	0	0.511363636	0	0	0	0	0	0	0	0	0	0	3
230	30	0	0.522727273	0	0	0	0	0	0	0	0	0	0	3
235	31	0	0.534090909	0	0	0	0	0	0	0	0	0	0	3
240	32	0	0.545454545	0	0	0	0	0	0	0	0	0	0	3
245	33	0	0.556818182	0	0	0	0	0	0	0	0	0	0	3
250	33	0	0.568181818	0	0	0	0	0	0	0	0	0	0	3
255	34	0	0.579545455	0	0	0	0	0	0	0	0	0	0	3
260	35	0	0.590909091	0	0	0	0	0	0	0	0	0	0	3
265	35	0	0.602272727	0	0	0	0	0	0	0	0	0	0	3
270	36	0	0.613636364	0	0	0	0	0	0	0	0	0	0	3
275	37	0	0.625	0	0	0	0	0	0	0	0	0	0	3
280	37	0	0.636363636	0	0	0	0	0	0	0	0	0	0	3
285	38	0	0.647727273	0	0	0	0	0	0	0	0	0	0	3
290	39	0	0.659090909	0	0	0	0	0	0	0	0	0	0	3
295	39	0	0.670454545	0	0	0	0	0	0	0	0	0	0	3
300	40	0	0.681818182	0	0	0	0	0	0	0	0	0	0	3
305	41	0	0.693181818	0	0	0	0	0	0	0	0	0	0	3
310	41	0	0.704545455	0	0	0	0	0	0	0	0	0	0	3
315	42	0	0.715909091	0	0	0	0	0	0	0	0	0	0	3
320	43	0	0.727272727	0	0	0	0	0	0	0	0	0	0	3
325	44	0	0.738636364	0	0	0	0	0	0	0	0	0	0	3
330	44	0	0.75	0	0	0	0	0	0	0	0	0	0	3
335	45	0	0.761363636	0	0	0	0	0	0	0	0	0	0	3
340	46	0	0.772727273	0	0	0	0	0	0	0	0	0	0	3
345	46	0	0.784090909	0	0	0	0	0	0	0	0	0	0	3
350	47	0	0.795454545	0	0	0	0	0	0	0	0	0	0	3
355	48	0	0.806818182	0	0	0	0	0	0	0	0	0	0	3
360	48	0	0.818181818	0	0	0	0	0	0	0	0	0	0	3
365	49	0	0.829545455	0	0	0	0	0	0	0	0	0	0	3
370	50	0	0.840909091	0	0	0	0	0	0	0	0	0	0	3
375	50	0	0.852272727	0	0	0	0	0	0	0	0	0	0	3
380	51	0	0.863636364	0	0	0	0	0	0	0	0	0	0	3
385	52	0	0.875	0	0	0	0	0	0	0	0	0	0	3
390	53	0	0.886363636	0	0	0	0	0	0	0	0	0	0	3
395	53	0	0.897727273	0	0	0	0	0	0	0	0	0	0	3
400	54	0	0.909090909	0	0	0	0	0	0	0	0	0	0	3
405	55	0	0.920454545	0	0	0	0	0	0	0	0	0	0	3
410	56	0	0.931818182	0	0	0	0	0	0	0	0	0	0	3
415	57	0	0.943181818	0	0	0	0	0	0	0	0	0	0	3
420	58	0	0.954545455	0	0	0	0	0	0	0	0	0	0	3
425	58	0	0.965909091	0	0	0	0	0	0	0	0	0	0	3
430	59	0	0.977272727	0	0	0	0	0	0	0	0	0	0	3
435	60	0	0.988636364	0	0	0	0	0	0	0	0	0	0	3
440	61	0	1	0	0	0	0	0	5e-06	0	0	0	0	3
445	62	0	1.01136364	0	0	0	0	0	5e-06	0	0	0	0	3
450	62	0	1.02272727	0	0	0	0	0	5e-06	0	0	0	0	3
455	63	0	1.03409091	0	0	0	0	0	5e-06	0	0	0	0	3
460	64	0	1.04545455	0	0	0	0	0	5e-06	0	0	0	0	3
465	65	0	1.05681818	0	0	0	0	0	5e-06	0	0	0	0	3
470	65	0	1.06818182	0	0	0	0	0	5e-06	0	0	0	0	3
475	66	0	1.07954545	0	0	0	0	0	5e-06	0	0	0	0	3
480	67	0	1.09090909	0	0	0	0	0	5e-06	0	0	0	0	3
485	68	0	1.10227273	0	0	0	0	0	5e-06	0	0	0	0	3
490	68	0	1.11363636	0	0	0	0	0	5e-06	0	0	0	0	3
495	69	0	1.125	0	0	0	0	0	5e-06	0	0	0	0	3
500	70	0	1.13636364	0	0	0	0	0	5e-06	0	0	0	0	3
505	71	0	1.14772727	0	0	0	0	0	5e-06	0	0	0	0	3
