Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.00227272727	-0.0717811235	-0.0717811235	-0.0717811235	-0.0717811235	0	0	0	0	0	0	3
5	1	0	0.0113636364	0.151835357	0.0400271169	-0.0717811235	0.151835357	0.11180824	0	0	0	0	0	3
10	1	0	0.0227272727	0.668510603	0.249521612	-0.0717811235	0.668510603	0.321302736	0	0	0	0	0	3
15	1	0	0.0340909091	0.869999776	0.404641153	-0.0717811235	0.869999776	0.476422277	0	0	0	0	0	3
20	1	0	0.0454545455	0.963292362	0.516371395	-0.0717811235	0.963292362	0.588152518	0	0	0	0	0	3
25	1	0	0.0568181818	1.01572826	0.599597539	-0.0717811235	1.01572826	0.671378662	0	0	0	0	0	3
30	2	0	0.0681818182	1.15543061	0.679002263	-0.0717811235	1.15543061	0.750783386	0	0	0	0	0	3
35	2	0	0.0795454545	1.14989473	0.737863822	-0.0717811235	1.15543061	0.809644945	0	0	0	0	0	3
40	2	0	0.0909090909	1.39575201	0.810962509	-0.0717811235	1.39575201	0.882743632	0	0	0	0	0	3
45	2	0	0.102272727	1.51034014	0.880900272	-0.0717811235	1.51034014	0.952681395	0	0	0	0	0	3
50	2	0	0.113636364	1.69527206	0.95493407	-0.0717811235	1.69527206	1.02671519	0	0	0	0	0	3
55	2	0	0.125	1.90708561	1.03428003	-0.0717811235	1.90708561	1.10606116	0	0	0	0	0	3
60	3	0	0.136363636	2.0783827	1.11459562	-0.0717811235	2.0783827	1.18637675	0	0	0	0	0	3
65	3	0	0.147727273	2.18880879	1.19132513	-0.0717811235	2.18880879	1.26310626	0	0	0	0	0	3
70	3	0	0.159090909	2.23912843	1.26117869	-0.0717811235	2.23912843	1.33295981	0	0	0	0	0	3
75	3	0	0.170454545	2.16922323	1.31793147	-0.0717811235	2.23912843	1.38971259	0	0	0	0	0	3
80	3	0	0.181818182	2.13646022	1.36608022	-0.0717811235	2.23912843	1.43786134	0	0	0	0	0	3
85	3	0	0.193181818	2.12277319	1.40811872	-0.0717811235	2.23912843	1.47989984	0	0	0	0	0	3
90	4	0	0.204545455	2.14118287	1.44670104	-0.0717811235	2.23912843	1.51848217	0	0	0	0	0	3
95	4	0	0.215909091	2.15643429	1.4821877	-0.0717811235	2.23912843	1.55396883	0	0	0	0	0	3
100	4	0	0.227272727	2.18019685	1.51542624	-0.0717811235	2.23912843	1.58720736	0	0	0	0	0	3
105	4	0	0.238636364	2.16685248	1.54503652	-0.0717811235	2.23912843	1.61681764	0	0	0	0	0	3
110	5	0	0.25	2.17335724	1.57235481	-0.0717811235	2.23912843	1.64413593	0	0	0	0	0	3
115	5	0	0.261363636	2.13472812	1.59578703	-0.0717811235	2.23912843	1.66756816	0	0	0	0	0	3
120	5	0	0.272727273	2.15510405	1.61815971	-0.0717811235	2.23912843	1.68994084	0	0	0	0	0	3
125	5	0	0.284090909	2.13021327	1.63785408	-0.0717811235	2.23912843	1.7096352	0	0	0	0	0	3
130	6	0	0.295454545	2.11142965	1.65539392	-0.0717811235	2.23912843	1.72717504	0	0	0	0	0	3
135	6	0	0.306818182	2.07142059	1.67025201	-0.0717811235	2.23912843	1.74203314	0	0	0	0	0	3
140	6	0	0.318181818	2.05846189	1.68363856	-0.0717811235	2.23912843	1.75541968	0	0	0	0	0	3
145	6	0	0.329545455	2.02384423	1.69497875	-0.0717811235	2.23912843	1.76675987	0	0	0	0	0	3
