Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00227272727	0.997210127	0.997210127	0.997210127	0.997210127	0	0	0	0	0	0	3
5	1	0	0.0113636364	0.990135944	0.993673036	0.990135944	0.997210127	0.00353709172	0	0	0	0	0	3
10	1	0	0.0227272727	0.982356333	0.989900802	0.982356333	0.997210127	0.00730932586	0	0	0	0	0	3
15	2	0	0.0340909091	0.975700354	0.98635069	0.975700354	0.997210127	0.0108594378	0	0	0	0	0	3
20	2	0	0.0454545455	0.969791581	0.983038868	0.969791581	0.997210127	0.0141712595	0	0	0	0	0	3
25	2	0	0.0568181818	0.964368725	0.979927178	0.964368725	0.997210127	0.0172829499	0	0	0	0	0	3
30	2	0	0.0681818182	0.959572679	0.977019392	0.959572679	0.997210127	0.0201907355	0	0	0	0	0	3
35	3	0	0.0795454545	0.955686852	0.974352825	0.955686852	0.997210127	0.0228573029	0	0	0	0	0	3
40	3	0	0.0909090909	0.952921963	0.971971618	0.952921963	0.997210127	0.0252385098	0	0	0	0	0	3
45	3	0	0.102272727	0.951335502	0.969908006	0.951335502	0.997210127	0.0273021214	0	0	0	0	0	3
50	3	0	0.113636364	0.95037754	0.968132509	0.95037754	0.997210127	0.0290776183	0	0	0	0	0	3
55	4	0	0.125	0.949639275	0.966591406	0.949639275	0.997210127	0.0306187211	0	0	0	0	0	3
60	4	0	0.136363636	0.948871352	0.965228325	0.948871352	0.997210127	0.0319818022	0	0	0	0	0	3
65	4	0	0.147727273	0.947757407	0.963980403	0.947757407	0.997210127	0.033229725	0	0	0	0	0	3
70	4	0	0.159090909	0.946144462	0.96279134	0.946144462	0.997210127	0.0344187877	0	0	0	0	0	3
75	5	0	0.170454545	0.944070587	0.961621293	0.944070587	0.997210127	0.0355888347	0	0	0	0	0	3
80	5	0	0.181818182	0.941648187	0.960446404	0.941648187	0.997210127	0.0367637233	0	0	0	0	0	3
85	5	0	0.193181818	0.93900353	0.959255133	0.93900353	0.997210127	0.0379549941	0	0	0	0	0	3
90	5	0	0.204545455	0.936242791	0.958043957	0.936242791	0.997210127	0.03916617	0	0	0	0	0	3
95	6	0	0.215909091	0.933482158	0.956815868	0.933482158	0.997210127	0.04039426	0	0	0	0	0	3
100	6	0	0.227272727	0.930839233	0.955578885	0.930839233	0.997210127	0.0416312426	0	0	0	0	0	3
105	6	0	0.238636364	0.928428223	0.954344764	0.928428223	0.997210127	0.0428653636	0	0	0	0	0	3
110	7	0	0.25	0.926319098	0.953126257	0.926319098	0.997210127	0.0440838708	0	0	0	0	0	3
115	7	0	0.261363636	0.924524176	0.951934503	0.924524176	0.997210127	0.0452756241	0	0	0	0	0	3
120	7	0	0.272727273	0.922962384	0.950775619	0.922962384	0.997210127	0.0464345089	0	0	0	0	0	3
125	7	0	0.284090909	0.921560243	0.94965195	0.921560243	0.997210127	0.0475581772	0	0	0	0	0	3
130	8	0	0.295454545	0.920242465	0.94856271	0.920242465	0.997210127	0.0486474174	0	0	0	0	0	3
135	8	0	0.306818182	0.918985512	0.947506382	0.918985512	0.997210127	0.0497037459	0	0	0	0	0	3
140	8	0	0.318181818	0.917763487	0.946480765	0.917763487	0.997210127	0.0507293629	0	0	0	0	0	3
145	8	0	0.329545455	0.916543493	0.945482855	0.916543493	0.997210127	0.051727272	0	0	0	0	0	3
150	9	0	0.340909091	0.915373127	0.944511574	0.915373127	0.997210127	0.0526985536	0	0	0	0	0	3
155	9	0	0.352272727	0.914272421	0.9435666	0.914272421	0.997210127	0.0536435271	0	0	0	0	0	3
160	9	0	0.363636364	0.913280189	0.94264883	0.913280189	0.997210127	0.0545612972	0	0	0	0	0	3
165	10	0	0.375	0.912358922	0.941757951	0.912358922	0.997210127	0.0554521768	0	0	0	0	0	3
170	10	0	0.386363636	0.911478026	0.94089281	0.911478026	0.997210127	0.0563173175	0	0	0	0	0	3
175	10	0	0.397727273	0.910628013	0.940052121	0.910628013	0.997210127	0.0571580063	0	0	0	0	0	3
180	10	0	0.409090909	0.909795366	0.939234371	0.909795366	0.997210127	0.0579757565	0	0	0	0	0	3
185	11	0	0.420454545	0.90896375	0.938437776	0.90896375	0.997210127	0.0587723518	0	0	0	0	0	3
190	11	0	0.431818182	0.908135838	0.937660803	0.908135838	0.997210127	0.0595493245	0	0	0	0	0	3
195	11	0	0.443181818	0.907308103	0.936901985	0.907308103	0.997210127	0.060308142	0	0	0	0	0	3
200	11	0	0.454545455	0.906476182	0.936159893	0.906476182	0.997210127	0.0610502348	0	0	0	0	0	3
205	12	0	0.465909091	0.905648915	0.935433441	0.905648915	0.997210127	0.0617766866	0	0	0	0	0	3
210	12	0	0.477272727	0.904830633	0.934721748	0.904830633	0.997210127	0.0624883798	0	0	0	0	0	3
215	12	0	0.488636364	0.904027752	0.934024157	0.904027752	0.997210127	0.0631859707	0	0	0	0	0	3
220	12	0	0.5	0.90322857	0.93333981	0.90322857	0.997210127	0.063870317	0	0	0	0	0	3
225	13	0	0.511363636	0.902454401	0.92989545	0.902454401	0.982356333	0.0600053516	0	0	0	0	0	3
230	13	0	0.522727273	0.901697276	0.92806229	0.901697276	0.975700354	0.0582884001	0	0	0	0	0	3
235	13	0	0.534090909	0.900954797	0.926363527	0.900954797	0.969791581	0.056675341	0	0	0	0	0	3
240	13	0	0.545454545	0.900230719	0.925782798	0.900230719	0.969791581	0.0572560701	0	0	0	0	0	3
245	14	0	0.556818182	0.899531362	0.92422146	0.899531362	0.964368725	0.0557057179	0	0	0	0	0	3
250	14	0	0.568181818	0.89884928	0.921928945	0.89884928	0.955686852	0.05242388	0	0	0	0	0	3
255	14	0	0.579545455	0.898184884	0.920622082	0.898184884	0.952921963	0.051349536	0	0	0	0	0	3
260	14	0	0.590909091	0.89753868	0.919363371	0.89753868	0.951335502	0.0505446354	0	0	0	0	0	3
265	15	0	0.602272727	0.896912877	0.918126493	0.896912877	0.95037754	0.0500060163	0	0	0	0	0	3
270	15	0	0.613636364	0.896303135	0.916897529	0.896303135	0.949639275	0.0496938772	0	0	0	0	0	3
275	15	0	0.625	0.895707348	0.915671804	0.895707348	0.948871352	0.0495565218	0	0	0	0	0	3
280	15	0	0.636363636	0.895129871	0.914450406	0.895129871	0.947757407	0.0495299963	0	0	0	0	0	3
285	16	0	0.647727273	0.894564551	0.913241478	0.894564551	0.946144462	0.0495498621	0	0	0	0	0	3
290	16	0	0.659090909	0.894012432	0.912056659	0.894012432	0.944070587	0.049564634	0	0	0	0	0	3
295	16	0	0.670454545	0.893472787	0.910906709	0.893472787	0.941648187	0.0481753995	0	0	0	0	0	3
300	16	0	0.681818182	0.892939481	0.910507437	0.892939481	0.941648187	0.0487087051	0	0	0	0	0	3
305	17	0	0.693181818	0.892417983	0.90874093	0.892417983	0.936242791	0.0438248082	0	0	0	0	0	3
310	17	0	0.704545455	0.891899333	0.907733124	0.891899333	0.933482158	0.0415828249	0	0	0	0	0	3
315	17	0	0.715909091	0.891375066	0.906776145	0.891375066	0.930839233	0.0394641667	0	0	0	0	0	3
320	17	0	0.727272727	0.890862026	0.905867572	0.890862026	0.928428223	0.0375661965	0	0	0	0	0	3
325	18	0	0.738636364	0.890352018	0.905002204	0.890352018	0.926319098	0.0359670801	0	0	0	0	0	3
330	18	0	0.75	0.889838374	0.904173097	0.889838374	0.924524176	0.0346858022	0	0	0	0	0	3
335	18	0	0.761363636	0.889335935	0.903373364	0.889335935	0.922962384	0.0336264488	0	0	0	0	0	3
340	18	0	0.772727273	0.888836343	0.902597772	0.888836343	0.921560243	0.0327238995	0	0	0	0	0	3
345	19	0	0.784090909	0.888339051	0.902280912	0.888339051	0.921560243	0.0332211915	0	0	0	0	0	3
350	19	0	0.795454545	0.88783258	0.901531408	0.88783258	0.920242465	0.0324098852	0	0	0	0	0	3
355	19	0	0.806818182	0.887342411	0.900800296	0.887342411	0.918985512	0.0316431009	0	0	0	0	0	3
360	20	0	0.818181818	0.886852885	0.899684482	0.886852885	0.916543493	0.0296906072	0	0	0	0	0	3
365	20	0	0.829545455	0.886351942	0.89899831	0.886351942	0.915373127	0.0290211847	0	0	0	0	0	3
370	20	0	0.840909091	0.885837139	0.898327038	0.885837139	0.914272421	0.0284352815	0	0	0	0	0	3
375	20	0	0.852272727	0.885358399	0.897669901	0.885358399	0.913280189	0.0279217908	0	0	0	0	0	3
380	21	0	0.863636364	0.884856646	0.897023911	0.884856646	0.912358922	0.0275022759	0	0	0	0	0	3
385	21	0	0.875	0.884387977	0.896388208	0.884387977	0.911478026	0.0270900493	0	0	0	0	0	3
390	21	0	0.886363636	0.883928625	0.895762085	0.883928625	0.910628013	0.0266993878	0	0	0	0	0	3
395	21	0	0.897727273	0.883475482	0.895144982	0.883475482	0.909795366	0.0263198836	0	0	0	0	0	3
400	22	0	0.909090909	0.883028822	0.894875734	0.883028822	0.909795366	0.0267665442	0	0	0	0	0	3
405	22	0	0.920454545	0.882579505	0.894270937	0.882579505	0.90896375	0.0263842449	0	0	0	0	0	3
410	22	0	0.931818182	0.882094667	0.893673846	0.882094667	0.908135838	0.026041171	0	0	0	0	0	3
415	22	0	0.943181818	0.881625507	0.892761469	0.881625507	0.906476182	0.0248506754	0	0	0	0	0	3
420	23	0	0.954545455	0.881148426	0.892185839	0.881148426	0.905648915	0.0245004893	0	0	0	0	0	3
425	23	0	0.965909091	0.880654185	0.891617777	0.880654185	0.904830633	0.0241764471	0	0	0	0	0	3
430	23	0	0.977272727	0.880157078	0.891057014	0.880157078	0.904027752	0.0238706747	0	0	0	0	0	3
435	23	0	0.988636364	0.879662799	0.890503265	0.879662799	0.90322857	0.0235657707	0	0	0	0	0	3
440	24	0	1	0.87917402	0.889956571	0.87917402	0.902454401	0.0232803802	0.0166442885	0	71.4	0	0	3
445	24	0	1.01136364	0.878701808	0.889416739	0.878701808	0.901697276	0.0229954678	0.0166442885	0	72.3	0	0	3
450	24	0	1.02272727	0.878245921	0.888883754	0.878245921	0.900954797	0.0227088758	0.0166442885	0	73.2	0	0	3
455	24	0	1.03409091	0.877799641	0.8883575	0.877799641	0.900230719	0.0224310777	0.0166442885	0	74.2	0	0	3
460	25	0	1.04545455	0.877361183	0.887837738	0.877361183	0.899531362	0.0221701791	0.0166442885	0	75	0	0	3
465	25	0	1.05681818	0.876937396	0.887324239	0.876937396	0.89884928	0.0219118844	0.0166442885	0	75.9	0	0	3
470	25	0	1.06818182	0.87652177	0.887084184	0.87652177	0.89884928	0.0223275105	0.0166442885	0	74.5	0	0	3
475	25	0	1.07954545	0.876115648	0.886315222	0.876115648	0.89753868	0.021423032	0.0166442885	0	77.6	0	0	3
480	26	0	1.09090909	0.875721969	0.886079816	0.875721969	0.89753868	0.0218167112	0.0166442885	0	76.2	0	0	3
485	26	0	1.10227273	0.875340544	0.885329107	0.875340544	0.896303135	0.0209625911	0.0166442885	0	79.3	0	0	3
490	26	0	1.11363636	0.874969826	0.885098901	0.874969826	0.896303135	0.0213333089	0.0166442885	0	78	0	0	3
495	26	0	1.125	0.874602614	0.884364606	0.874602614	0.895129871	0.0205272572	0.0166442885	0	81	0	0	3
500	27	0	1.13636364	0.874238938	0.883889812	0.874238938	0.894564551	0.0203256129	0.0166442885	0	81.8	0	0	3
505	27	0	1.14772727	0.873880956	0.883419731	0.873880956	0.894012432	0.020131476	0.0166442885	0	82.6	0	0	3
