Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00227272727	577.364229	577.364229	577.364229	577.364229	0	0	0	0	0	0	3
5	1	0	0.0113636364	589.014215	583.189222	577.364229	589.014215	5.82499306	0	0	0	0	0	3
10	1	0	0.0227272727	602.134129	589.504191	577.364229	602.134129	12.1399621	0	0	0	0	0	3
15	2	0	0.0340909091	610.328819	594.710348	577.364229	610.328819	17.346119	0	0	0	0	0	3
20	2	0	0.0454545455	616.309459	599.03017	577.364229	616.309459	21.6659413	0	0	0	0	0	3
25	2	0	0.0568181818	620.466442	602.602882	577.364229	620.466442	25.2386533	0	0	0	0	0	3
30	3	0	0.0681818182	622.105903	605.389028	577.364229	622.105903	28.0247992	0	0	0	0	0	3
35	3	0	0.0795454545	622.348618	607.508977	577.364229	622.348618	30.1447479	0	0	0	0	0	3
40	3	0	0.0909090909	621.556478	609.06981	577.364229	622.348618	31.7055813	0	0	0	0	0	3
45	3	0	0.102272727	620.372351	610.200064	577.364229	622.348618	32.8358354	0	0	0	0	0	3
50	3	0	0.113636364	618.545197	610.958713	577.364229	622.348618	33.5944838	0	0	0	0	0	3
55	4	0	0.125	615.859448	611.367107	577.364229	622.348618	34.0028784	0	0	0	0	0	3
60	4	0	0.136363636	612.765918	611.474708	577.364229	622.348618	34.1104793	0	0	0	0	0	3
65	4	0	0.147727273	609.700764	611.347998	577.364229	622.348618	34.1104793	0	0	0	0	0	3
70	4	0	0.159090909	606.752123	611.041606	577.364229	622.348618	34.1104793	0	0	0	0	0	3
75	4	0	0.170454545	603.744267	610.585523	577.364229	622.348618	34.1104793	0	0	0	0	0	3
80	5	0	0.181818182	599.937309	609.959157	577.364229	622.348618	34.1104793	0	0	0	0	0	3
85	5	0	0.193181818	595.06977	609.131969	577.364229	622.348618	34.1104793	0	0	0	0	0	3
90	5	0	0.204545455	589.709413	608.109729	577.364229	622.348618	34.1104793	0	0	0	0	0	3
95	5	0	0.215909091	584.307731	606.919629	577.364229	622.348618	34.1104793	0	0	0	0	0	3
100	5	0	0.227272727	579.239924	605.601548	577.364229	622.348618	34.1104793	0	0	0	0	0	3
105	6	0	0.238636364	574.869398	604.204632	574.869398	622.348618	34.1104793	0	0	0	0	0	3
110	6	0	0.25	571.448555	602.780455	571.448555	622.348618	34.1104793	0	0	0	0	0	3
115	6	0	0.261363636	569.176617	601.380295	569.176617	622.348618	34.1104793	0	0	0	0	0	3
120	6	0	0.272727273	568.121355	600.049937	568.121355	622.348618	34.1104793	0	0	0	0	0	3
125	7	0	0.284090909	568.319931	598.829552	568.121355	622.348618	34.1104793	0	0	0	0	0	3
130	7	0	0.295454545	569.583566	597.746368	568.121355	622.348618	34.1104793	0	0	0	0	0	3
135	7	0	0.306818182	571.64312	596.814109	568.121355	622.348618	34.1104793	0	0	0	0	0	3
140	7	0	0.318181818	574.219071	596.03497	568.121355	622.348618	34.1104793	0	0	0	0	0	3
145	7	0	0.329545455	577.011057	595.400839	568.121355	622.348618	34.1104793	0	0	0	0	0	3
150	8	0	0.340909091	579.745511	594.895829	568.121355	622.348618	34.1104793	0	0	0	0	0	3
155	8	0	0.352272727	582.220133	594.499713	568.121355	622.348618	34.1104793	0	0	0	0	0	3
160	8	0	0.363636364	584.257593	594.189346	568.121355	622.348618	34.1104793	0	0	0	0	0	3
165	8	0	0.375	585.77812	593.941957	568.121355	622.348618	34.1104793	0	0	0	0	0	3
170	8	0	0.386363636	586.729522	593.735887	568.121355	622.348618	34.1104793	0	0	0	0	0	3
175	9	0	0.397727273	587.183769	593.553884	568.121355	622.348618	34.1104793	0	0	0	0	0	3
180	9	0	0.409090909	587.281819	593.384369	568.121355	622.348618	34.1104793	0	0	0	0	0	3
185	9	0	0.420454545	587.115537	593.2194	568.121355	622.348618	34.1104793	0	0	0	0	0	3
190	9	0	0.431818182	586.797442	593.054734	568.121355	622.348618	34.1104793	0	0	0	0	0	3
195	10	0	0.443181818	586.422714	592.888933	568.121355	622.348618	34.1104793	0	0	0	0	0	3
200	10	0	0.454545455	586.056276	592.722283	568.121355	622.348618	34.1104793	0	0	0	0	0	3
205	10	0	0.465909091	585.761389	592.556548	568.121355	622.348618	34.1104793	0	0	0	0	0	3
210	11	0	0.477272727	585.595055	592.394652	568.121355	622.348618	34.1104793	0	0	0	0	0	3
215	11	0	0.488636364	585.563346	592.239396	568.121355	622.348618	34.1104793	0	0	0	0	0	3
220	11	0	0.5	585.706895	592.094229	568.121355	622.348618	34.1104793	0	0	0	0	0	3
225	11	0	0.511363636	585.994615	592.360374	568.121355	622.348618	21.9705172	0	0	0	0	0	3
230	12	0	0.522727273	586.416281	592.00315	568.121355	622.348618	19.4715577	0	0	0	0	0	3
235	12	0	0.534090909	586.950034	591.471814	568.121355	622.348618	20.0028937	0	0	0	0	0	3
240	12	0	0.545454545	587.566765	591.385036	568.121355	622.348618	20.0896726	0	0	0	0	0	3
245	13	0	0.556818182	588.218185	590.760785	568.121355	622.348618	20.7139231	0	0	0	0	0	3
250	13	0	0.568181818	588.860972	589.33009	568.121355	622.348618	22.1446183	0	0	0	0	0	3
255	13	0	0.579545455	589.469238	588.582831	568.121355	621.556478	22.8918769	0	0	0	0	0	3
260	13	0	0.590909091	590.030769	587.866338	568.121355	620.372351	23.6083703	0	0	0	0	0	3
265	14	0	0.602272727	590.53845	587.188295	568.121355	618.545197	24.2864135	0	0	0	0	0	3
270	14	0	0.613636364	590.982631	586.561873	568.121355	615.859448	24.9128354	0	0	0	0	0	3
275	14	0	0.625	591.384812	586.005631	568.121355	612.765918	25.4690772	0	0	0	0	0	3
280	15	0	0.636363636	591.752709	585.528058	568.121355	609.700764	25.8199398	0	0	0	0	0	3
285	15	0	0.647727273	592.086197	585.127727	568.121355	606.752123	25.9138792	0	0	0	0	0	3
290	15	0	0.659090909	592.385055	584.801203	568.121355	603.744267	25.7843198	0	0	0	0	0	3
295	15	0	0.670454545	592.666042	584.549425	568.121355	599.937309	25.4097322	0	0	0	0	0	3
300	16	0	0.681818182	592.943694	584.735964	568.121355	599.937309	25.4097322	0	0	0	0	0	3
305	16	0	0.693181818	593.230946	584.348688	568.121355	593.230946	23.7610415	0	0	0	0	0	3
310	16	0	0.704545455	593.511502	584.435099	568.121355	593.511502	22.5709415	0	0	0	0	0	3
315	17	0	0.715909091	593.762227	584.649974	568.121355	593.762227	21.2528603	0	0	0	0	0	3
320	17	0	0.727272727	593.975053	584.984863	568.121355	593.975053	19.8559445	0	0	0	0	0	3
