Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.00227272727	52.7457799	52.7457799	52.7457799	52.7457799	0	0	0	0	0	0	3
5	1	0	0.0113636364	46.6995541	49.722667	46.6995541	52.7457799	3.02311289	0	0	0	0	0	3
10	1	0	0.0227272727	44.851032	48.0987887	44.851032	52.7457799	4.64699124	0	0	0	0	0	3
15	1	0	0.0340909091	44.3222501	47.154654	44.3222501	52.7457799	5.59112587	0	0	0	0	0	3
20	2	0	0.0454545455	43.2835276	46.3804287	43.2835276	52.7457799	6.36535116	0	0	0	0	0	3
25	2	0	0.0568181818	42.0464633	45.6581012	42.0464633	52.7457799	7.08767873	0	0	0	0	0	3
30	2	0	0.0681818182	40.9592105	44.9868311	40.9592105	52.7457799	7.75894883	0	0	0	0	0	3
35	2	0	0.0795454545	39.6456434	44.3191826	39.6456434	52.7457799	8.42659729	0	0	0	0	0	3
40	2	0	0.0909090909	38.2979974	43.650162	38.2979974	52.7457799	9.09561787	0	0	0	0	0	3
45	2	0	0.102272727	36.6977192	42.9549177	36.6977192	52.7457799	9.79086215	0	0	0	0	0	3
50	3	0	0.113636364	36.0101726	42.3235773	36.0101726	52.7457799	10.4222026	0	0	0	0	0	3
55	3	0	0.125	35.1761025	41.7279544	35.1761025	52.7457799	11.0178255	0	0	0	0	0	3
60	3	0	0.136363636	34.329293	41.1588266	34.329293	52.7457799	11.5869533	0	0	0	0	0	3
65	3	0	0.147727273	33.5406372	40.6146702	33.5406372	52.7457799	12.1311097	0	0	0	0	0	3
70	3	0	0.159090909	32.7750883	40.0920314	32.7750883	52.7457799	12.6537485	0	0	0	0	0	3
75	3	0	0.170454545	31.8986791	39.5799469	31.8986791	52.7457799	13.165833	0	0	0	0	0	3
80	4	0	0.181818182	30.9979109	39.0751212	30.9979109	52.7457799	13.6706587	0	0	0	0	0	3
85	4	0	0.193181818	30.451502	38.5960313	30.451502	52.7457799	14.1497486	0	0	0	0	0	3
90	4	0	0.204545455	30.0328132	38.1453356	30.0328132	52.7457799	14.6004443	0	0	0	0	0	3
95	4	0	0.215909091	29.5236641	37.714252	29.5236641	52.7457799	15.0315279	0	0	0	0	0	3
100	4	0	0.227272727	29.2137912	37.3094682	29.2137912	52.7457799	15.4363117	0	0	0	0	0	3
105	5	0	0.238636364	28.8817442	36.9263898	28.8817442	52.7457799	15.8193901	0	0	0	0	0	3
110	5	0	0.25	28.5811603	36.5635537	28.5811603	52.7457799	16.1822262	0	0	0	0	0	3
115	5	0	0.261363636	28.2086818	36.2154341	28.2086818	52.7457799	16.5303458	0	0	0	0	0	3
120	5	0	0.272727273	27.8434353	35.8805541	27.8434353	52.7457799	16.8652258	0	0	0	0	0	3
125	5	0	0.284090909	27.6200152	35.5628411	27.6200152	52.7457799	17.1829388	0	0	0	0	0	3
130	5	0	0.295454545	27.5942904	35.2677096	27.5942904	52.7457799	17.4780703	0	0	0	0	0	3
135	6	0	0.306818182	27.6328501	34.995036	27.5942904	52.7457799	17.7507439	0	0	0	0	0	3
140	6	0	0.318181818	27.4820132	34.7359663	27.4820132	52.7457799	18.0098136	0	0	0	0	0	3
145	6	0	0.329545455	27.5011274	34.494805	27.4820132	52.7457799	18.2509749	0	0	0	0	0	3
150	6	0	0.340909091	27.3213331	34.2634027	27.3213331	52.7457799	18.4823772	0	0	0	0	0	3
155	7	0	0.352272727	27.4355545	34.0500324	27.3213331	52.7457799	18.6957475	0	0	0	0	0	3
160	7	0	0.363636364	27.3742309	33.8477354	27.3213331	52.7457799	18.8980445	0	0	0	0	0	3
165	7	0	0.375	27.3402003	33.6563373	27.3213331	52.7457799	19.0894426	0	0	0	0	0	3
170	7	0	0.386363636	27.1812653	33.4713352	27.1812653	52.7457799	19.2744447	0	0	0	0	0	3
175	8	0	0.397727273	27.363559	33.3016748	27.1812653	52.7457799	19.4441051	0	0	0	0	0	3
180	8	0	0.409090909	27.0689697	33.1332233	27.0689697	52.7457799	19.6125566	0	0	0	0	0	3
185	8	0	0.420454545	27.161206	32.976065	27.0689697	52.7457799	19.7697149	0	0	0	0	0	3
190	9	0	0.431818182	26.9309906	32.821063	26.9309906	52.7457799	19.9247169	0	0	0	0	0	3
195	9	0	0.443181818	27.0315937	32.6763263	26.9309906	52.7457799	20.0694536	0	0	0	0	0	3
200	9	0	0.454545455	26.717504	32.5309892	26.717504	52.7457799	20.2147907	0	0	0	0	0	3
205	9	0	0.465909091	26.8527636	32.3957933	26.717504	52.7457799	20.3499866	0	0	0	0	0	3
210	10	0	0.477272727	26.5498759	32.2598418	26.5498759	52.7457799	20.4859381	0	0	0	0	0	3
215	10	0	0.488636364	26.6702316	32.1328052	26.5498759	52.7457799	20.6129747	0	0	0	0	0	3
220	10	0	0.5	26.4281336	32.0060347	26.4281336	52.7457799	20.7397452	0	0	0	0	0	3
225	10	0	0.511363636	26.4167247	31.0737035	26.4167247	44.851032	17.0250852	0	0	0	0	0	3
230	11	0	0.522727273	26.273794	30.6514935	26.273794	44.3222501	16.5031605	0	0	0	0	0	3
235	11	0	0.534090909	26.3414997	30.2428401	26.273794	43.2835276	16.1375887	0	0	0	0	0	3
