Iteration	CPUTime	PhysTime	Travels
1	1	0	0.00227272727
5	1	0	0.0113636364
10	1	0	0.0227272727
15	1	0	0.0340909091
20	2	0	0.0454545455
25	2	0	0.0568181818
30	2	0	0.0681818182
35	2	0	0.0795454545
40	2	0	0.0909090909
45	2	0	0.102272727
50	3	0	0.113636364
55	3	0	0.125
60	3	0	0.136363636
65	3	0	0.147727273
70	3	0	0.159090909
75	3	0	0.170454545
80	4	0	0.181818182
85	4	0	0.193181818
90	4	0	0.204545455
95	4	0	0.215909091
100	4	0	0.227272727
105	5	0	0.238636364
110	5	0	0.25
115	5	0	0.261363636
120	5	0	0.272727273
125	5	0	0.284090909
130	5	0	0.295454545
135	6	0	0.306818182
140	6	0	0.318181818
145	6	0	0.329545455
150	6	0	0.340909091
155	7	0	0.352272727
160	7	0	0.363636364
165	7	0	0.375
170	7	0	0.386363636
175	8	0	0.397727273
180	8	0	0.409090909
185	8	0	0.420454545
190	9	0	0.431818182
195	9	0	0.443181818
200	9	0	0.454545455
205	9	0	0.465909091
210	10	0	0.477272727
215	10	0	0.488636364
220	10	0	0.5
225	10	0	0.511363636
230	11	0	0.522727273
235	11	0	0.534090909
240	11	0	0.545454545
245	12	0	0.556818182
250	12	0	0.568181818
255	12	0	0.579545455
260	12	0	0.590909091
265	13	0	0.602272727
270	13	0	0.613636364
275	13	0	0.625
280	13	0	0.636363636
285	14	0	0.647727273
290	14	0	0.659090909
295	14	0	0.670454545
300	15	0	0.681818182
305	15	0	0.693181818
310	15	0	0.704545455
315	15	0	0.715909091
320	16	0	0.727272727
325	16	0	0.738636364
330	16	0	0.75
335	17	0	0.761363636
340	17	0	0.772727273
345	17	0	0.784090909
350	17	0	0.795454545
355	18	0	0.806818182
360	18	0	0.818181818
365	18	0	0.829545455
370	19	0	0.840909091
375	19	0	0.852272727
380	19	0	0.863636364
385	20	0	0.875
390	20	0	0.886363636
395	20	0	0.897727273
400	20	0	0.909090909
405	21	0	0.920454545
410	21	0	0.931818182
415	21	0	0.943181818
420	22	0	0.954545455
425	22	0	0.965909091
430	22	0	0.977272727
435	22	0	0.988636364
440	23	0	1
445	23	0	1.01136364
450	23	0	1.02272727
455	24	0	1.03409091
460	24	0	1.04545455
465	24	0	1.05681818
470	24	0	1.06818182
475	25	0	1.07954545
480	25	0	1.09090909
485	25	0	1.10227273
490	26	0	1.11363636
495	26	0	1.125
500	26	0	1.13636364
505	27	0	1.14772727
510	27	0	1.15909091
515	27	0	1.17045455
520	28	0	1.18181818
525	28	0	1.19318182
530	28	0	1.20454545
535	28	0	1.21590909
540	29	0	1.22727273
545	29	0	1.23863636
550	29	0	1.25
555	30	0	1.26136364
560	30	0	1.27272727
565	30	0	1.28409091
570	31	0	1.29545455
575	31	0	1.30681818
580	31	0	1.31818182
585	32	0	1.32954545
590	32	0	1.34090909
595	32	0	1.35227273
600	33	0	1.36363636
605	33	0	1.375
610	33	0	1.38636364
615	34	0	1.39772727
620	34	0	1.40909091
625	34	0	1.42045455
630	34	0	1.43181818
635	35	0	1.44318182
640	35	0	1.45454545
645	35	0	1.46590909
650	35	0	1.47727273
655	35	0	1.48863636
660	36	0	1.5
665	36	0	1.51136364
670	36	0	1.52272727
675	36	0	1.53409091
680	36	0	1.54545455
685	37	0	1.55681818
