"stat_p_avg-rfile"
"Iteration" "stat_p_avg"
("Iteration" "stat_p_avg")
1 -18161.43
2 -12730.55
3 -6388.065
4 -3128.274
5 -3245.659
6 -2686.635
7 -2244.547
8 -2539.423
9 -2850.333
10 -3161.053
11 -3441.852
12 -3700.071
13 -3843.555
14 -3981.825
15 -4024.972
16 -4023.41
17 -4002.101
18 -3983.265
19 -3997.691
20 -3874.969
21 -3872.596
22 -3874.88
23 -3816.03
24 -3721.273
25 -3621.231
26 -3556.223
27 -3433.672
28 -3391.202
29 -3281.478
30 -3167.097
31 -3171.438
32 -3069.902
33 -3054.083
34 -2921.719
35 -2918.207
36 -2868.952
37 -2866.348
38 -2843.078
39 -2806.521
40 -2829.843
41 -2729.935
42 -2763.403
43 -2762.411
44 -2726.655
45 -2611.146
46 -2645.811
47 -2643.359
48 -2649.651
49 -2669.828
50 -2776.973
