"dyn_p_avg-rfile"
"Iteration" "dyn_p_avg"
("Iteration" "dyn_p_avg")
1 72156.3
2 69275.53
3 68372.03
4 66892.71
5 66317.69
6 66004.98
7 65670.88
8 65241.99
9 65055.26
10 64915.07
11 64800.22
12 64714.64
13 64663.96
14 64607.96
15 64481.57
16 64544.11
17 64559.05
18 64667.5
19 64760.93
20 64974.57
21 65152.16
22 65249.2
23 65350.49
24 65534.29
25 65520.26
26 65498.25
27 65480.69
28 65415.82
29 65414.26
30 65391.48
31 65254.12
32 65240.75
33 65246.15
34 65363.54
35 65412.86
36 65425.43
37 65479.43
38 65487.44
39 65428.47
40 65462.3
41 65537.76
42 65434.59
43 65416.83
44 65492.33
45 65587.55
46 65576.02
47 65435.23
48 65461.05
49 65437.41
50 65228.89
