"report-file-0"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 65.22298
2 93.64742
3 112.7044
4 126.5271
5 138.0782
6 147.3655
7 154.3167
8 159.9443
9 164.8946
10 169.3896
11 173.2997
12 176.4516
13 179.3729
14 182.2263
15 184.3534
16 186.8517
17 188.8193
18 190.9339
19 193.1219
20 195.2297
21 197.7033
22 199.4017
23 200.8556
24 202.8177
25 203.569
26 204.6369
27 205.387
28 206.2978
29 207.3002
30 207.805
31 207.9379
32 208.0028
33 208.315
34 208.5188
35 208.6197
36 208.6997
37 208.5901
38 209.1019
39 208.7856
40 209.054
41 209.4917
42 209.3624
43 209.2534
44 209.5087
45 209.6887
46 210.3259
47 210.1355
48 210.3017
49 210.9119
50 210.217
