"dyn_p_avg-rfile"
"Iteration" "dyn_p_avg"
("Iteration" "dyn_p_avg")
1 291238.2
2 277673.4
3 274919.3
4 272475.5
5 267817
6 268123.3
7 267608.2
8 267161.5
9 266883.8
10 266387.9
11 265581.4
12 264780.2
13 263713.5
14 262922
15 261940
16 261002.5
17 259816.6
18 259165.6
19 258613.5
20 258304.1
21 257884.6
22 258110.7
23 258578.2
24 258755.8
25 259121
26 259822.5
27 260007.7
28 260234.6
29 260613.2
30 260570
31 260620.3
32 260244.3
33 259895.6
34 259616.3
35 259184.3
36 258753.8
37 258207.7
38 257580.4
39 257140.5
40 256855.2
41 256892.1
42 256773.5
43 256267.1
44 256268.7
45 256453.1
46 256424.5
47 256308.6
48 255516.4
49 255437.3
50 255365.5
51 254940.2
52 254713.9
53 254635.5
54 254379.9
55 254086.8
56 253863.7
57 253994.9
58 253787.8
59 253430.3
60 253033.6
61 252938.2
62 252714.6
63 252831
64 253183.6
65 253390
66 253371.2
67 253287.4
68 253644.4
69 253732
70 253622.1
71 253504.3
72 253678.1
73 253938.2
74 253965.3
75 254216.7
76 254765.1
77 254926.1
78 254821.8
79 254852.4
80 255413.3
81 255852.2
82 255406.4
83 255676.8
84 256049.5
85 255922.9
86 256099.6
87 256402.6
88 256300.3
89 255939.2
90 256122.5
91 256155.3
92 255962.5
93 255823.8
94 255891.4
95 255856.8
96 255657.9
97 255849.1
98 255903.8
99 256050.5
100 256147.2
