"force_x-rfile"
"Iteration" "force_x"
("Iteration" "force_x")
1 -40.69624
2 -14.66282
3 -13.44663
4 -11.29809
5 -9.575941
6 -8.463194
7 -7.794686
8 -7.411818
9 -7.24804
10 -7.163507
11 -7.146938
12 -7.146369
13 -7.103743
14 -7.153218
15 -7.13734
16 -7.157289
17 -7.169138
18 -7.178785
19 -7.182427
20 -7.210058
21 -7.214764
22 -7.250742
23 -7.245451
24 -7.256713
25 -7.313008
26 -7.292778
27 -7.338484
28 -7.30655
29 -7.332909
30 -7.321466
31 -7.280629
32 -7.27838
33 -7.247603
34 -7.319538
35 -7.331944
36 -7.33963
37 -7.282764
38 -7.202591
39 -7.206467
40 -7.205805
41 -7.292166
42 -7.292998
43 -7.248834
44 -7.217607
45 -7.240877
46 -7.230696
47 -7.230906
48 -7.224076
49 -7.243491
50 -7.246037
