"force_z-rfile"
"Iteration" "force_z"
("Iteration" "force_z")
1 -29.63041
2 -26.748
3 -26.91543
4 -27.35848
5 -27.29195
6 -27.67922
7 -27.81019
8 -27.96213
9 -28.12668
10 -28.26257
11 -28.40342
12 -28.54651
13 -28.70373
14 -28.61421
15 -28.47085
16 -28.47001
17 -28.66568
18 -28.74513
19 -29.024
20 -29.16231
21 -29.07962
22 -29.11008
23 -29.12532
24 -29.24237
25 -29.37487
26 -29.35327
27 -29.22963
28 -29.10433
29 -29.00969
30 -28.91998
31 -28.81691
32 -28.72578
33 -28.68595
34 -28.61612
35 -28.67821
36 -28.71356
37 -28.77119
38 -28.71112
39 -4.378253
40 96.86069
41 126.9317
42 -12.15038
43 -177.2791
44 -238.5486
45 -240.5101
46 -208.9955
47 -155.5849
48 -129.4597
49 -145.417
50 -128.1897
