"report-def-0-rfile"
"Iteration" "drag_x"
("Iteration" "drag_x")
1 -0.0001027978
2 -9.279774e-05
3 -9.337859e-05
4 -9.491568e-05
5 -9.468487e-05
6 -9.602844e-05
7 -9.648281e-05
8 -9.700995e-05
9 -9.758081e-05
10 -9.805227e-05
11 -9.854093e-05
12 -9.903736e-05
13 -9.95828e-05
14 -9.927222e-05
15 -9.877487e-05
16 -9.877196e-05
17 -9.94508e-05
18 -9.972644e-05
19 -0.0001006939
20 -0.0001011738
21 -0.0001008869
22 -0.0001009926
23 -0.0001010455
24 -0.0001014515
25 -0.0001019112
26 -0.0001018363
27 -0.0001014073
28 -0.0001009726
29 -0.0001006443
30 -0.000100333
31 -9.997546e-05
32 -9.965931e-05
33 -9.95211e-05
34 -9.927886e-05
35 -9.949425e-05
36 -9.961689e-05
37 -9.981683e-05
38 -9.960845e-05
39 -1.518962e-05
40 0.000336042
41 0.0004403682
42 -4.21537e-05
43 -0.0006150402
44 -0.0008276046
45 -0.0008344097
46 -0.0007250748
47 -0.0005397757
48 -0.0004491387
49 -0.0005045001
50 -0.0004447328
