"stat_p_avg-rfile"
"Iteration" "stat_p_avg"
("Iteration" "stat_p_avg")
1 -7559.767
2 -6757.235
3 -7654.428
4 -7498.038
5 -7902.631
6 -7817.874
7 -8289.764
8 -8436.841
9 -8464.896
10 -8476.083
11 -8477.895
12 -8455.015
13 -8150.287
14 -8226.754
15 -8380.061
16 -8430.285
17 -8373.42
18 -8478.823
19 -8428.268
20 -8344.572
21 -8353.125
22 -8250.823
23 -8272.253
24 -8303.628
25 -8100.245
26 -8253.598
27 -8014.881
28 -8035.89
29 -7858.952
30 -7730.848
31 -7998.952
32 -8042.775
33 -8237.94
34 -8473.021
35 -8631.508
36 -8757.298
37 -8882.303
38 -9279.167
39 35812.28
40 314517.5
41 664021.6
42 561451.7
43 377361
44 210851.6
45 117842.6
46 51484.88
47 71268.97
48 117786.9
49 124576
50 109881.6
