"tot_p_avg-rfile"
"Iteration" "tot_p_avg"
("Iteration" "tot_p_avg")
1 215279
2 227339.9
3 249992.7
4 257546.8
5 255755.6
6 258180.5
7 259286.8
8 255570.9
9 253015.6
10 251292.8
11 249743.9
12 248407.4
13 247330.6
14 246899.5
15 246708.2
16 246254.3
17 246444.8
18 246941.1
19 246999.9
20 247473.2
21 248205.1
22 248543.4
23 249240.7
24 250470.8
25 251660.8
26 251467.1
27 251663.6
28 253231.1
29 254086.7
30 253839.5
31 253996
32 254144.7
33 254261.2
34 254441.4
35 254481.6
36 254368.8
37 254243.4
38 254623.5
39 254055.8
40 254229.5
41 254503
42 254052.6
43 254121.7
44 254447.6
45 254719.5
46 254625.5
47 254016.9
48 255157.9
49 255316.8
50 254967.8
