"drag-rfile"
"Iteration" "drag"
("Iteration" "drag")
1 56.03442
2 16.57086
3 -7.729155
4 6.692363
5 8.39376
6 4.726261
7 5.416417
8 4.119637
9 5.758537
10 7.062035
11 6.908577
12 5.91708
13 4.937243
14 4.08959
15 4.024841
16 3.734895
17 3.02433
18 1.949089
19 1.221009
20 0.457531
21 -0.258337
22 -0.9116297
23 -1.738538
24 -2.652834
25 -3.197652
26 -3.347286
27 -3.863208
28 -4.035988
29 -4.358586
30 -6.581521
31 -6.471222
32 -6.259337
33 -5.693407
34 -5.384085
35 -4.652103
36 -4.175431
37 -3.959682
38 -3.510019
39 -2.942826
40 -2.196531
41 -1.872581
42 -1.486011
43 -1.699219
44 -1.616607
45 -1.373783
46 -0.8722897
47 -0.1135693
48 0.1870832
49 -0.1266851
50 -0.5112019
