"force_y-rfile"
"Iteration" "force_y"
("Iteration" "force_y")
1 256.186
2 144.7434
3 61.94747
4 10.30734
5 3.704394
6 -9.64396
7 -16.29917
8 -14.42046
9 -10.18607
10 -7.001617
11 -4.266375
12 -1.734775
13 -0.4619217
14 0.05268669
15 1.995726
16 1.906473
17 2.106915
18 2.159233
19 2.494364
20 0.6720858
21 -1.180033
22 -1.287017
23 -1.314683
24 -1.811545
25 -1.975561
26 -1.986355
27 -1.748269
28 -2.205161
29 -1.170959
30 -1.419723
31 -0.3209128
32 -0.8791809
33 -0.506906
34 -1.234013
35 -1.397685
36 -1.641409
37 -1.418924
38 -1.555692
39 -1.432517
40 -1.488971
41 -1.695846
42 -2.133674
43 -2.670449
44 -2.939544
45 -2.104088
46 -3.102397
47 -3.900039
48 -4.591394
49 -3.92208
50 -4.435664
