"force_z-rfile"
"Iteration" "force_z"
("Iteration" "force_z")
1 -40.53362
2 -13.48679
3 -11.3179
4 -8.999369
5 -7.058759
6 -5.527126
7 -4.727849
8 -4.491968
9 -4.398533
10 -4.411684
11 -4.427875
12 -4.460113
13 -4.424746
14 -4.388569
15 -4.353643
16 -4.372563
17 -4.280991
18 -4.313567
19 -4.291557
20 -4.342079
21 -4.300766
22 -4.33295
23 -4.36959
24 -4.374613
25 -4.413878
26 -4.386898
27 -4.356461
28 -4.379597
29 -4.388531
30 -4.40014
31 -4.404242
32 -4.380116
33 -4.355722
34 -4.335803
35 -4.33279
36 -4.325224
37 -4.285892
38 -4.310654
39 -4.281803
40 -4.239398
41 -4.163798
42 -4.125069
43 -4.171259
44 -4.277552
45 -4.308179
46 -4.260662
47 -4.222511
48 -4.199631
49 -4.212059
50 -4.238082
