"shear-stress-rfile"
"Iteration" "shear-stress"
("Iteration" "shear-stress")
1 62.36915
2 89.24785
3 103.6086
4 114.7393
5 123.2322
6 129.6545
7 134.8309
8 139.495
9 143.3791
10 146.8463
11 149.8575
12 152.3733
13 154.7937
14 156.9022
15 158.6726
16 160.632
17 162.4636
18 163.9336
19 165.2068
20 166.842
21 168.3719
22 169.4463
23 170.6371
24 172.097
25 173.1359
26 174.3213
27 175.5724
28 176.9984
29 177.524
30 178.0374
31 178.458
32 179.0971
33 179.2215
34 179.8083
35 179.8923
36 179.732
37 179.6777
38 179.805
39 179.4508
40 179.4931
41 179.3882
42 179.4807
43 179.2594
44 179.5846
45 180.0508
46 180.098
47 179.9664
48 180.3583
49 180.674
50 180.6908
